[2026-01-16 18:47:17,117] [INFO] - seed: 0
image_preprocessing: None
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_ms
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: OQIM
  pca: false
  supports_color: true

[2026-01-16 18:47:17,120] [INFO] - Using cuda.
[2026-01-16 18:47:17,163] [INFO] - Dataset: eurosat_ms | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-16 18:47:17,165] [INFO] - Initiate model
[2026-01-16 18:47:17,167] [INFO] - Weights Shape: torch.Size([3, 12, 3])
[2026-01-16 18:47:17,168] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 18:50:15,829] [INFO] - [  100/ 4200] | Cost: 0.6954926 | Accuracy: 0.4400000
[2026-01-16 18:53:10,136] [INFO] - [  200/ 4200] | Cost: 0.6866687 | Accuracy: 0.5700000
[2026-01-16 18:55:58,025] [INFO] - [  300/ 4200] | Cost: 0.7130080 | Accuracy: 0.4500000
[2026-01-16 18:59:04,716] [INFO] - [  400/ 4200] | Cost: 0.7061149 | Accuracy: 0.4700000
[2026-01-16 19:01:59,478] [INFO] - [  500/ 4200] | Cost: 0.6981841 | Accuracy: 0.4900000
[2026-01-16 19:04:50,593] [INFO] - [  600/ 4200] | Cost: 0.6895036 | Accuracy: 0.5500000
[2026-01-16 19:07:30,667] [INFO] - [  700/ 4200] | Cost: 0.6934757 | Accuracy: 0.5000000
[2026-01-16 19:10:37,681] [INFO] - [  800/ 4200] | Cost: 0.6935229 | Accuracy: 0.4600000
[2026-01-16 19:13:31,046] [INFO] - [  900/ 4200] | Cost: 0.6903378 | Accuracy: 0.5700000
[2026-01-16 19:16:24,852] [INFO] - [ 1000/ 4200] | Cost: 0.6891182 | Accuracy: 0.5500000
[2026-01-16 19:19:12,515] [INFO] - [ 1100/ 4200] | Cost: 0.7028635 | Accuracy: 0.4700000
[2026-01-16 19:22:13,668] [INFO] - [ 1200/ 4200] | Cost: 0.7024367 | Accuracy: 0.4800000
[2026-01-16 19:25:12,093] [INFO] - [ 1300/ 4200] | Cost: 0.7092596 | Accuracy: 0.4400000
[2026-01-16 19:27:55,924] [INFO] - [ 1400/ 4200] | Cost: 0.6899614 | Accuracy: 0.5400000
[2026-01-16 19:30:40,159] [INFO] - [ 1500/ 4200] | Cost: 0.7014911 | Accuracy: 0.4400000
[2026-01-16 19:33:44,976] [INFO] - [ 1600/ 4200] | Cost: 0.6886561 | Accuracy: 0.5800000
[2026-01-16 19:36:45,311] [INFO] - [ 1700/ 4200] | Cost: 0.6940692 | Accuracy: 0.4800000
[2026-01-16 19:39:34,812] [INFO] - [ 1800/ 4200] | Cost: 0.6933717 | Accuracy: 0.4800000
[2026-01-16 19:42:30,296] [INFO] - [ 1900/ 4200] | Cost: 0.6926761 | Accuracy: 0.5300000
[2026-01-16 19:45:29,998] [INFO] - [ 2000/ 4200] | Cost: 0.6934112 | Accuracy: 0.5000000
[2026-01-16 19:48:36,821] [INFO] - [ 2100/ 4200] | Cost: 0.6985223 | Accuracy: 0.4300000
[2026-01-16 19:51:35,104] [INFO] - [ 2200/ 4200] | Cost: 0.6937153 | Accuracy: 0.5000000
[2026-01-16 19:54:43,047] [INFO] - [ 2300/ 4200] | Cost: 0.6873910 | Accuracy: 0.6000000
[2026-01-16 19:57:44,551] [INFO] - [ 2400/ 4200] | Cost: 0.6931044 | Accuracy: 0.5100000
[2026-01-16 20:00:38,310] [INFO] - [ 2500/ 4200] | Cost: 0.6897916 | Accuracy: 0.5500000
[2026-01-16 20:03:27,724] [INFO] - [ 2600/ 4200] | Cost: 0.6883919 | Accuracy: 0.5600000
[2026-01-16 20:06:33,646] [INFO] - [ 2700/ 4200] | Cost: 0.6901362 | Accuracy: 0.5400000
[2026-01-16 20:09:24,197] [INFO] - [ 2800/ 4200] | Cost: 0.6786106 | Accuracy: 0.6200000
[2026-01-16 20:12:31,943] [INFO] - [ 2900/ 4200] | Cost: 0.6864011 | Accuracy: 0.5600000
[2026-01-16 20:15:30,098] [INFO] - [ 3000/ 4200] | Cost: 0.6968687 | Accuracy: 0.5100000
[2026-01-16 20:18:32,627] [INFO] - [ 3100/ 4200] | Cost: 0.7124507 | Accuracy: 0.4500000
[2026-01-16 20:21:39,349] [INFO] - [ 3200/ 4200] | Cost: 0.7260034 | Accuracy: 0.3900000
[2026-01-16 20:24:32,926] [INFO] - [ 3300/ 4200] | Cost: 0.6921217 | Accuracy: 0.5300000
[2026-01-16 20:27:43,312] [INFO] - [ 3400/ 4200] | Cost: 0.6965171 | Accuracy: 0.5000000
[2026-01-16 20:30:33,747] [INFO] - [ 3500/ 4200] | Cost: 0.6964446 | Accuracy: 0.4900000
[2026-01-16 20:33:30,362] [INFO] - [ 3600/ 4200] | Cost: 0.6905923 | Accuracy: 0.5400000
[2026-01-16 20:36:23,627] [INFO] - [ 3700/ 4200] | Cost: 0.6986629 | Accuracy: 0.4100000
[2026-01-16 20:39:37,084] [INFO] - [ 3800/ 4200] | Cost: 0.6934143 | Accuracy: 0.4800000
[2026-01-16 20:42:33,860] [INFO] - [ 3900/ 4200] | Cost: 0.6939017 | Accuracy: 0.4800000
[2026-01-16 20:45:34,468] [INFO] - [ 4000/ 4200] | Cost: 0.6910483 | Accuracy: 0.5400000
[2026-01-16 20:48:49,207] [INFO] - [ 4100/ 4200] | Cost: 0.6883398 | Accuracy: 0.5600000
[2026-01-16 20:51:50,694] [INFO] - [ 4200/ 4200] | Cost: 0.6857904 | Accuracy: 0.5700000
