[2026-01-16 19:18:15,382] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_ms
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: OQIM
  pca: false
  supports_color: true

[2026-01-16 19:18:15,384] [INFO] - Using cuda.
[2026-01-16 19:18:15,434] [INFO] - Dataset: eurosat_ms | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-16 19:18:15,436] [INFO] - Initiate model
[2026-01-16 19:18:15,437] [INFO] - Weights Shape: torch.Size([3, 12, 3])
[2026-01-16 19:18:15,438] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 19:21:13,225] [INFO] - [  100/ 4200] | Cost: 0.6954926 | Accuracy: 0.4400000
[2026-01-16 19:24:11,799] [INFO] - [  200/ 4200] | Cost: 0.6866687 | Accuracy: 0.5700000
[2026-01-16 19:27:07,634] [INFO] - [  300/ 4200] | Cost: 0.7130080 | Accuracy: 0.4500000
[2026-01-16 19:29:57,473] [INFO] - [  400/ 4200] | Cost: 0.7061149 | Accuracy: 0.4700000
[2026-01-16 19:32:58,633] [INFO] - [  500/ 4200] | Cost: 0.6981841 | Accuracy: 0.4900000
[2026-01-16 19:35:54,974] [INFO] - [  600/ 4200] | Cost: 0.6895036 | Accuracy: 0.5500000
[2026-01-16 19:38:37,563] [INFO] - [  700/ 4200] | Cost: 0.6934757 | Accuracy: 0.5000000
[2026-01-16 19:41:30,794] [INFO] - [  800/ 4200] | Cost: 0.6935229 | Accuracy: 0.4600000
[2026-01-16 19:44:32,461] [INFO] - [  900/ 4200] | Cost: 0.6903378 | Accuracy: 0.5700000
[2026-01-16 19:47:18,683] [INFO] - [ 1000/ 4200] | Cost: 0.6891182 | Accuracy: 0.5500000
[2026-01-16 19:50:05,131] [INFO] - [ 1100/ 4200] | Cost: 0.7028635 | Accuracy: 0.4700000
[2026-01-16 19:52:45,697] [INFO] - [ 1200/ 4200] | Cost: 0.7024367 | Accuracy: 0.4800000
[2026-01-16 19:55:47,354] [INFO] - [ 1300/ 4200] | Cost: 0.7092595 | Accuracy: 0.4400000
[2026-01-16 19:58:32,349] [INFO] - [ 1400/ 4200] | Cost: 0.6899613 | Accuracy: 0.5400000
[2026-01-16 20:01:11,099] [INFO] - [ 1500/ 4200] | Cost: 0.7014910 | Accuracy: 0.4400000
[2026-01-16 20:04:05,557] [INFO] - [ 1600/ 4200] | Cost: 0.6886561 | Accuracy: 0.5800000
[2026-01-16 20:07:03,438] [INFO] - [ 1700/ 4200] | Cost: 0.6940694 | Accuracy: 0.4800000
[2026-01-16 20:09:58,985] [INFO] - [ 1800/ 4200] | Cost: 0.6933718 | Accuracy: 0.4800000
[2026-01-16 20:12:47,797] [INFO] - [ 1900/ 4200] | Cost: 0.6926762 | Accuracy: 0.5300000
[2026-01-16 20:15:54,843] [INFO] - [ 2000/ 4200] | Cost: 0.6934112 | Accuracy: 0.5000000
[2026-01-16 20:18:47,055] [INFO] - [ 2100/ 4200] | Cost: 0.6985223 | Accuracy: 0.4300000
[2026-01-16 20:21:44,319] [INFO] - [ 2200/ 4200] | Cost: 0.6937153 | Accuracy: 0.5000000
[2026-01-16 20:24:32,674] [INFO] - [ 2300/ 4200] | Cost: 0.6873912 | Accuracy: 0.6000000
[2026-01-16 20:27:46,030] [INFO] - [ 2400/ 4200] | Cost: 0.6931044 | Accuracy: 0.5100000
[2026-01-16 20:30:21,619] [INFO] - [ 2500/ 4200] | Cost: 0.6897914 | Accuracy: 0.5500000
[2026-01-16 20:33:21,724] [INFO] - [ 2600/ 4200] | Cost: 0.6883919 | Accuracy: 0.5600000
[2026-01-16 20:36:07,545] [INFO] - [ 2700/ 4200] | Cost: 0.6901362 | Accuracy: 0.5400000
[2026-01-16 20:39:14,604] [INFO] - [ 2800/ 4200] | Cost: 0.6786104 | Accuracy: 0.6200000
[2026-01-16 20:42:10,528] [INFO] - [ 2900/ 4200] | Cost: 0.6864011 | Accuracy: 0.5600000
[2026-01-16 20:45:09,593] [INFO] - [ 3000/ 4200] | Cost: 0.6968687 | Accuracy: 0.5100000
[2026-01-16 20:47:55,146] [INFO] - [ 3100/ 4200] | Cost: 0.7124506 | Accuracy: 0.4500000
[2026-01-16 20:50:54,622] [INFO] - [ 3200/ 4200] | Cost: 0.7260034 | Accuracy: 0.3900000
[2026-01-16 20:53:42,795] [INFO] - [ 3300/ 4200] | Cost: 0.6921217 | Accuracy: 0.5300000
[2026-01-16 20:56:14,531] [INFO] - [ 3400/ 4200] | Cost: 0.6965172 | Accuracy: 0.5000000
[2026-01-16 20:59:04,362] [INFO] - [ 3500/ 4200] | Cost: 0.6964449 | Accuracy: 0.4900000
[2026-01-16 21:02:08,164] [INFO] - [ 3600/ 4200] | Cost: 0.6905922 | Accuracy: 0.5400000
[2026-01-16 21:04:55,238] [INFO] - [ 3700/ 4200] | Cost: 0.6986629 | Accuracy: 0.4100000
[2026-01-16 21:07:51,637] [INFO] - [ 3800/ 4200] | Cost: 0.6934143 | Accuracy: 0.4800000
[2026-01-16 21:10:52,142] [INFO] - [ 3900/ 4200] | Cost: 0.6939016 | Accuracy: 0.4800000
[2026-01-16 21:13:59,190] [INFO] - [ 4000/ 4200] | Cost: 0.6910483 | Accuracy: 0.5400000
[2026-01-16 21:16:57,353] [INFO] - [ 4100/ 4200] | Cost: 0.6883398 | Accuracy: 0.5600000
[2026-01-16 21:19:50,748] [INFO] - [ 4200/ 4200] | Cost: 0.6857903 | Accuracy: 0.5700000
