[2026-01-16 20:19:19,088] [INFO] - seed: 0
image_preprocessing: None
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NEQR
  pca: false
  supports_color: true

[2026-01-16 20:19:19,090] [INFO] - Using cuda.
[2026-01-16 20:19:20,851] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-16 20:19:20,854] [INFO] - Initiate model
[2026-01-16 20:19:20,855] [INFO] - Weights Shape: torch.Size([3, 16, 3])
[2026-01-16 20:19:20,856] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 20:21:03,968] [INFO] - [  100/ 8400] | Cost: 0.6929675 | Accuracy: 0.5900000
[2026-01-16 20:22:40,016] [INFO] - [  200/ 8400] | Cost: 0.6852457 | Accuracy: 0.5900000
[2026-01-16 20:24:11,115] [INFO] - [  300/ 8400] | Cost: 0.6858483 | Accuracy: 0.5600000
[2026-01-16 20:25:39,968] [INFO] - [  400/ 8400] | Cost: 0.6946109 | Accuracy: 0.5300000
[2026-01-16 20:27:28,500] [INFO] - [  500/ 8400] | Cost: 0.7029381 | Accuracy: 0.5100000
[2026-01-16 20:29:19,989] [INFO] - [  600/ 8400] | Cost: 0.7025344 | Accuracy: 0.5100000
[2026-01-16 20:30:54,429] [INFO] - [  700/ 8400] | Cost: 0.7143765 | Accuracy: 0.4600000
[2026-01-16 20:32:24,562] [INFO] - [  800/ 8400] | Cost: 0.7199094 | Accuracy: 0.4100000
[2026-01-16 20:33:56,834] [INFO] - [  900/ 8400] | Cost: 0.7009880 | Accuracy: 0.4700000
[2026-01-16 20:35:13,487] [INFO] - [ 1000/ 8400] | Cost: 0.6956784 | Accuracy: 0.4800000
[2026-01-16 20:37:00,756] [INFO] - [ 1100/ 8400] | Cost: 0.6934851 | Accuracy: 0.5200000
