[2026-01-16 21:29:46,677] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NEQR
  pca: false
  supports_color: true

[2026-01-16 21:29:46,679] [INFO] - Using cuda.
[2026-01-16 21:29:48,183] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-16 21:29:48,185] [INFO] - Initiate model
[2026-01-16 21:29:48,187] [INFO] - Weights Shape: torch.Size([3, 18, 3])
[2026-01-16 21:29:48,188] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 21:35:20,653] [INFO] - [  100/ 8400] | Cost: 0.6932953 | Accuracy: 0.4500000
[2026-01-16 21:40:41,591] [INFO] - [  200/ 8400] | Cost: 0.6851869 | Accuracy: 0.5900000
[2026-01-16 21:46:23,101] [INFO] - [  300/ 8400] | Cost: 0.6862003 | Accuracy: 0.5600000
[2026-01-16 21:51:43,181] [INFO] - [  400/ 8400] | Cost: 0.6948721 | Accuracy: 0.5300000
[2026-01-16 21:57:20,803] [INFO] - [  500/ 8400] | Cost: 0.7028318 | Accuracy: 0.5100000
[2026-01-16 22:02:46,942] [INFO] - [  600/ 8400] | Cost: 0.7022808 | Accuracy: 0.5100000
[2026-01-16 22:08:31,509] [INFO] - [  700/ 8400] | Cost: 0.7140474 | Accuracy: 0.4600000
[2026-01-16 22:14:05,697] [INFO] - [  800/ 8400] | Cost: 0.7200838 | Accuracy: 0.4100000
[2026-01-16 22:19:36,157] [INFO] - [  900/ 8400] | Cost: 0.7009487 | Accuracy: 0.4700000
[2026-01-16 22:25:03,040] [INFO] - [ 1000/ 8400] | Cost: 0.6957955 | Accuracy: 0.4800000
[2026-01-16 22:30:42,952] [INFO] - [ 1100/ 8400] | Cost: 0.6932446 | Accuracy: 0.5000000
[2026-01-16 22:36:16,668] [INFO] - [ 1200/ 8400] | Cost: 0.6958914 | Accuracy: 0.4600000
[2026-01-16 22:41:56,049] [INFO] - [ 1300/ 8400] | Cost: 0.6895493 | Accuracy: 0.5500000
[2026-01-16 22:47:25,088] [INFO] - [ 1400/ 8400] | Cost: 0.7002676 | Accuracy: 0.4700000
[2026-01-16 22:53:03,469] [INFO] - [ 1500/ 8400] | Cost: 0.6968361 | Accuracy: 0.5000000
[2026-01-16 22:58:33,611] [INFO] - [ 1600/ 8400] | Cost: 0.6956074 | Accuracy: 0.5100000
[2026-01-16 23:04:12,475] [INFO] - [ 1700/ 8400] | Cost: 0.6859379 | Accuracy: 0.5600000
[2026-01-16 23:09:39,770] [INFO] - [ 1800/ 8400] | Cost: 0.7045613 | Accuracy: 0.4700000
[2026-01-16 23:15:16,970] [INFO] - [ 1900/ 8400] | Cost: 0.6840991 | Accuracy: 0.5700000
[2026-01-16 23:20:42,586] [INFO] - [ 2000/ 8400] | Cost: 0.7079244 | Accuracy: 0.4500000
[2026-01-16 23:26:10,115] [INFO] - [ 2100/ 8400] | Cost: 0.6988673 | Accuracy: 0.4900000
[2026-01-16 23:31:41,138] [INFO] - [ 2200/ 8400] | Cost: 0.7023471 | Accuracy: 0.4600000
[2026-01-16 23:37:10,027] [INFO] - [ 2300/ 8400] | Cost: 0.7052999 | Accuracy: 0.4100000
