[2026-01-16 22:53:42,273] [INFO] - seed: 0
image_preprocessing: ContrastScaling
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-16 22:53:42,275] [INFO] - Using cuda.
[2026-01-16 22:53:44,019] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-16 22:53:44,022] [INFO] - Initiate model
[2026-01-16 22:53:44,024] [INFO] - Weights Shape: torch.Size([3, 17, 3])
[2026-01-16 22:53:44,025] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 22:56:26,364] [INFO] - [  100/ 8400] | Cost: 0.6931658 | Accuracy: 0.5200000
[2026-01-16 22:59:12,636] [INFO] - [  200/ 8400] | Cost: 0.6850940 | Accuracy: 0.5900000
[2026-01-16 23:02:05,267] [INFO] - [  300/ 8400] | Cost: 0.6862800 | Accuracy: 0.5600000
[2026-01-16 23:05:12,071] [INFO] - [  400/ 8400] | Cost: 0.6947351 | Accuracy: 0.5300000
[2026-01-16 23:07:52,131] [INFO] - [  500/ 8400] | Cost: 0.7028996 | Accuracy: 0.5100000
[2026-01-16 23:10:36,400] [INFO] - [  600/ 8400] | Cost: 0.7023236 | Accuracy: 0.5100000
[2026-01-16 23:13:27,486] [INFO] - [  700/ 8400] | Cost: 0.7139724 | Accuracy: 0.4600000
[2026-01-16 23:16:29,576] [INFO] - [  800/ 8400] | Cost: 0.7200053 | Accuracy: 0.4100000
[2026-01-16 23:19:18,797] [INFO] - [  900/ 8400] | Cost: 0.7010871 | Accuracy: 0.4700000
[2026-01-16 23:21:56,775] [INFO] - [ 1000/ 8400] | Cost: 0.6957918 | Accuracy: 0.4800000
[2026-01-16 23:24:55,184] [INFO] - [ 1100/ 8400] | Cost: 0.6931967 | Accuracy: 0.5000000
