[2026-01-17 00:50:05,971] [INFO] - seed: 0
image_preprocessing: BilateralFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NEQR
  pca: false
  supports_color: true

[2026-01-17 00:50:05,973] [INFO] - Using cuda.
[2026-01-17 00:50:07,768] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-17 00:50:07,770] [INFO] - Initiate model
[2026-01-17 00:50:07,772] [INFO] - Weights Shape: torch.Size([3, 18, 3])
[2026-01-17 00:50:07,774] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 00:55:32,765] [INFO] - [  100/ 8400] | Cost: 0.6935093 | Accuracy: 0.4500000
[2026-01-17 01:01:07,538] [INFO] - [  200/ 8400] | Cost: 0.6854300 | Accuracy: 0.5900000
[2026-01-17 01:06:38,634] [INFO] - [  300/ 8400] | Cost: 0.6861783 | Accuracy: 0.5600000
[2026-01-17 01:12:23,209] [INFO] - [  400/ 8400] | Cost: 0.6946062 | Accuracy: 0.5300000
[2026-01-17 01:17:54,357] [INFO] - [  500/ 8400] | Cost: 0.7024831 | Accuracy: 0.5100000
[2026-01-17 01:23:26,464] [INFO] - [  600/ 8400] | Cost: 0.7022724 | Accuracy: 0.5100000
[2026-01-17 01:28:46,370] [INFO] - [  700/ 8400] | Cost: 0.7142010 | Accuracy: 0.4600000
[2026-01-17 01:34:23,462] [INFO] - [  800/ 8400] | Cost: 0.7197177 | Accuracy: 0.4100000
[2026-01-17 01:39:36,034] [INFO] - [  900/ 8400] | Cost: 0.7009313 | Accuracy: 0.4700000
[2026-01-17 01:45:04,011] [INFO] - [ 1000/ 8400] | Cost: 0.6957555 | Accuracy: 0.4800000
[2026-01-17 01:50:25,825] [INFO] - [ 1100/ 8400] | Cost: 0.6932092 | Accuracy: 0.5000000
[2026-01-17 01:55:56,434] [INFO] - [ 1200/ 8400] | Cost: 0.6955760 | Accuracy: 0.4600000
[2026-01-17 02:00:56,300] [INFO] - [ 1300/ 8400] | Cost: 0.6896884 | Accuracy: 0.5500000
[2026-01-17 02:06:31,091] [INFO] - [ 1400/ 8400] | Cost: 0.7004005 | Accuracy: 0.4700000
[2026-01-17 02:11:52,535] [INFO] - [ 1500/ 8400] | Cost: 0.6972013 | Accuracy: 0.5000000
[2026-01-17 02:17:10,760] [INFO] - [ 1600/ 8400] | Cost: 0.6959970 | Accuracy: 0.5100000
[2026-01-17 02:22:41,569] [INFO] - [ 1700/ 8400] | Cost: 0.6862022 | Accuracy: 0.5600000
[2026-01-17 02:28:09,974] [INFO] - [ 1800/ 8400] | Cost: 0.7048812 | Accuracy: 0.4700000
[2026-01-17 02:33:33,541] [INFO] - [ 1900/ 8400] | Cost: 0.6842771 | Accuracy: 0.5700000
[2026-01-17 02:38:57,580] [INFO] - [ 2000/ 8400] | Cost: 0.7079639 | Accuracy: 0.4500000
[2026-01-17 02:44:09,040] [INFO] - [ 2100/ 8400] | Cost: 0.6991005 | Accuracy: 0.4900000
[2026-01-17 02:49:36,516] [INFO] - [ 2200/ 8400] | Cost: 0.7018263 | Accuracy: 0.4600000
[2026-01-17 02:55:06,763] [INFO] - [ 2300/ 8400] | Cost: 0.7053983 | Accuracy: 0.4100000
[2026-01-17 03:00:40,983] [INFO] - [ 2400/ 8400] | Cost: 0.6938735 | Accuracy: 0.5000000
[2026-01-17 03:06:16,404] [INFO] - [ 2500/ 8400] | Cost: 0.6937727 | Accuracy: 0.4700000
[2026-01-17 03:12:02,655] [INFO] - [ 2600/ 8400] | Cost: 0.6944879 | Accuracy: 0.4600000
[2026-01-17 03:17:41,315] [INFO] - [ 2700/ 8400] | Cost: 0.6922144 | Accuracy: 0.5200000
[2026-01-17 03:23:15,276] [INFO] - [ 2800/ 8400] | Cost: 0.6922956 | Accuracy: 0.5200000
[2026-01-17 03:28:35,784] [INFO] - [ 2900/ 8400] | Cost: 0.7007509 | Accuracy: 0.4600000
[2026-01-17 03:34:13,755] [INFO] - [ 3000/ 8400] | Cost: 0.6927062 | Accuracy: 0.5200000
[2026-01-17 03:39:39,535] [INFO] - [ 3100/ 8400] | Cost: 0.7055953 | Accuracy: 0.4400000
[2026-01-17 03:44:59,760] [INFO] - [ 3200/ 8400] | Cost: 0.7003508 | Accuracy: 0.4700000
[2026-01-17 03:49:59,366] [INFO] - [ 3300/ 8400] | Cost: 0.6994438 | Accuracy: 0.4700000
[2026-01-17 03:55:24,246] [INFO] - [ 3400/ 8400] | Cost: 0.6931691 | Accuracy: 0.5100000
[2026-01-17 04:00:39,480] [INFO] - [ 3500/ 8400] | Cost: 0.6932102 | Accuracy: 0.5100000
[2026-01-17 04:05:59,976] [INFO] - [ 3600/ 8400] | Cost: 0.6901554 | Accuracy: 0.5600000
