[2026-01-17 02:02:32,035] [INFO] - seed: 0
image_preprocessing: HomomorphicFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NEQR
  pca: false
  supports_color: true

[2026-01-17 02:02:32,036] [INFO] - Using cuda.
[2026-01-17 02:02:33,826] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-17 02:02:33,829] [INFO] - Initiate model
[2026-01-17 02:02:33,830] [INFO] - Weights Shape: torch.Size([3, 18, 3])
[2026-01-17 02:02:33,832] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 02:07:52,678] [INFO] - [  100/ 8400] | Cost: 0.6931798 | Accuracy: 0.4900000
[2026-01-17 02:13:19,543] [INFO] - [  200/ 8400] | Cost: 0.6854300 | Accuracy: 0.5900000
[2026-01-17 02:19:07,861] [INFO] - [  300/ 8400] | Cost: 0.6863765 | Accuracy: 0.5600000
[2026-01-17 02:24:39,217] [INFO] - [  400/ 8400] | Cost: 0.6944263 | Accuracy: 0.5300000
[2026-01-17 02:30:04,612] [INFO] - [  500/ 8400] | Cost: 0.7028654 | Accuracy: 0.5100000
[2026-01-17 02:35:33,792] [INFO] - [  600/ 8400] | Cost: 0.7024417 | Accuracy: 0.5100000
[2026-01-17 02:40:56,748] [INFO] - [  700/ 8400] | Cost: 0.7138704 | Accuracy: 0.4600000
[2026-01-17 02:46:11,744] [INFO] - [  800/ 8400] | Cost: 0.7199429 | Accuracy: 0.4100000
[2026-01-17 02:51:36,425] [INFO] - [  900/ 8400] | Cost: 0.7010566 | Accuracy: 0.4700000
[2026-01-17 02:57:06,559] [INFO] - [ 1000/ 8400] | Cost: 0.6955711 | Accuracy: 0.4800000
[2026-01-17 03:02:24,181] [INFO] - [ 1100/ 8400] | Cost: 0.6931171 | Accuracy: 0.5000000
[2026-01-17 03:07:48,117] [INFO] - [ 1200/ 8400] | Cost: 0.6955780 | Accuracy: 0.4600000
[2026-01-17 03:12:58,574] [INFO] - [ 1300/ 8400] | Cost: 0.6893873 | Accuracy: 0.5500000
[2026-01-17 03:18:25,482] [INFO] - [ 1400/ 8400] | Cost: 0.7002689 | Accuracy: 0.4700000
[2026-01-17 03:24:00,561] [INFO] - [ 1500/ 8400] | Cost: 0.6971409 | Accuracy: 0.5000000
[2026-01-17 03:29:28,878] [INFO] - [ 1600/ 8400] | Cost: 0.6960872 | Accuracy: 0.5100000
[2026-01-17 03:34:52,235] [INFO] - [ 1700/ 8400] | Cost: 0.6861581 | Accuracy: 0.5600000
[2026-01-17 03:40:26,336] [INFO] - [ 1800/ 8400] | Cost: 0.7047862 | Accuracy: 0.4700000
[2026-01-17 03:45:58,767] [INFO] - [ 1900/ 8400] | Cost: 0.6842330 | Accuracy: 0.5700000
[2026-01-17 03:51:27,121] [INFO] - [ 2000/ 8400] | Cost: 0.7080433 | Accuracy: 0.4500000
[2026-01-17 03:56:38,986] [INFO] - [ 2100/ 8400] | Cost: 0.6987810 | Accuracy: 0.4900000
[2026-01-17 04:02:02,745] [INFO] - [ 2200/ 8400] | Cost: 0.7021042 | Accuracy: 0.4600000
[2026-01-17 04:07:17,941] [INFO] - [ 2300/ 8400] | Cost: 0.7051132 | Accuracy: 0.4100000
[2026-01-17 04:12:46,653] [INFO] - [ 2400/ 8400] | Cost: 0.6933362 | Accuracy: 0.5000000
[2026-01-17 04:18:03,898] [INFO] - [ 2500/ 8400] | Cost: 0.6937891 | Accuracy: 0.4700000
[2026-01-17 04:23:18,311] [INFO] - [ 2600/ 8400] | Cost: 0.6945858 | Accuracy: 0.4600000
[2026-01-17 04:28:36,082] [INFO] - [ 2700/ 8400] | Cost: 0.6922502 | Accuracy: 0.5200000
[2026-01-17 04:33:47,500] [INFO] - [ 2800/ 8400] | Cost: 0.6926517 | Accuracy: 0.5200000
[2026-01-17 04:39:07,688] [INFO] - [ 2900/ 8400] | Cost: 0.7003176 | Accuracy: 0.4600000
[2026-01-17 04:44:25,818] [INFO] - [ 3000/ 8400] | Cost: 0.6928494 | Accuracy: 0.5200000
[2026-01-17 04:49:59,288] [INFO] - [ 3100/ 8400] | Cost: 0.7055718 | Accuracy: 0.4400000
[2026-01-17 04:55:26,165] [INFO] - [ 3200/ 8400] | Cost: 0.7000648 | Accuracy: 0.4700000
[2026-01-17 05:00:50,978] [INFO] - [ 3300/ 8400] | Cost: 0.6997547 | Accuracy: 0.4700000
[2026-01-17 05:06:19,855] [INFO] - [ 3400/ 8400] | Cost: 0.6936070 | Accuracy: 0.5100000
[2026-01-17 05:11:56,894] [INFO] - [ 3500/ 8400] | Cost: 0.6928406 | Accuracy: 0.5100000
[2026-01-17 05:17:27,048] [INFO] - [ 3600/ 8400] | Cost: 0.6900807 | Accuracy: 0.5600000
[2026-01-17 05:23:05,393] [INFO] - [ 3700/ 8400] | Cost: 0.6933172 | Accuracy: 0.4900000
