[2026-01-16 02:03:19,415] [INFO] - seed: 0
image_preprocessing: BilateralFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: mnist
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-16 02:03:19,417] [INFO] - Using cuda.
[2026-01-16 02:03:19,811] [INFO] - Dataset: mnist | Train Size: 10346 | Validation Size: 2956 | Test Size: 1478
[2026-01-16 02:03:19,814] [INFO] - Initiate model
[2026-01-16 02:03:19,816] [INFO] - Weights Shape: torch.Size([3, 17, 3])
[2026-01-16 02:03:19,817] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 02:05:45,428] [INFO] - [  100/10346] | Cost: 0.6928546 | Accuracy: 0.5500000
[2026-01-16 02:08:21,998] [INFO] - [  200/10346] | Cost: 0.6910473 | Accuracy: 0.5200000
[2026-01-16 02:10:56,364] [INFO] - [  300/10346] | Cost: 0.6936833 | Accuracy: 0.4900000
[2026-01-16 02:13:45,723] [INFO] - [  400/10346] | Cost: 0.6875120 | Accuracy: 0.5300000
[2026-01-16 02:16:19,138] [INFO] - [  500/10346] | Cost: 0.6861942 | Accuracy: 0.5300000
[2026-01-16 02:18:38,603] [INFO] - [  600/10346] | Cost: 0.6906365 | Accuracy: 0.4100000
[2026-01-16 02:21:15,112] [INFO] - [  700/10346] | Cost: 0.6829654 | Accuracy: 0.9800000
[2026-01-16 02:23:51,003] [INFO] - [  800/10346] | Cost: 0.6809666 | Accuracy: 0.8100000
[2026-01-16 02:26:25,408] [INFO] - [  900/10346] | Cost: 0.6785090 | Accuracy: 0.8100000
[2026-01-16 02:29:05,727] [INFO] - [ 1000/10346] | Cost: 0.6728799 | Accuracy: 0.9600000
[2026-01-16 02:31:47,938] [INFO] - [ 1100/10346] | Cost: 0.6728309 | Accuracy: 0.5800000
[2026-01-16 02:34:42,228] [INFO] - [ 1200/10346] | Cost: 0.6631591 | Accuracy: 0.5500000
[2026-01-16 02:37:16,213] [INFO] - [ 1300/10346] | Cost: 0.6647047 | Accuracy: 0.5200000
[2026-01-16 02:39:59,599] [INFO] - [ 1400/10346] | Cost: 0.6477645 | Accuracy: 0.5900000
[2026-01-16 02:42:52,602] [INFO] - [ 1500/10346] | Cost: 0.6544336 | Accuracy: 0.5400000
[2026-01-16 02:45:59,925] [INFO] - [ 1600/10346] | Cost: 0.6245682 | Accuracy: 0.6600000
[2026-01-16 02:49:01,197] [INFO] - [ 1700/10346] | Cost: 0.6398879 | Accuracy: 0.5800000
[2026-01-16 02:51:56,547] [INFO] - [ 1800/10346] | Cost: 0.6372544 | Accuracy: 0.5900000
[2026-01-16 02:54:47,257] [INFO] - [ 1900/10346] | Cost: 0.6450932 | Accuracy: 0.5500000
[2026-01-16 02:58:03,114] [INFO] - [ 2000/10346] | Cost: 0.6523634 | Accuracy: 0.5100000
[2026-01-16 03:01:07,558] [INFO] - [ 2100/10346] | Cost: 0.6522993 | Accuracy: 0.5200000
[2026-01-16 03:03:59,272] [INFO] - [ 2200/10346] | Cost: 0.6385629 | Accuracy: 0.5400000
[2026-01-16 03:07:11,103] [INFO] - [ 2300/10346] | Cost: 0.6675341 | Accuracy: 0.4400000
[2026-01-16 03:10:29,984] [INFO] - [ 2400/10346] | Cost: 0.6280060 | Accuracy: 0.5400000
