[2026-01-16 05:47:38,142] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: NEQR
  pca: false
  supports_color: true

[2026-01-16 05:47:38,144] [INFO] - Using cuda.
[2026-01-16 05:47:38,588] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-16 05:47:38,590] [INFO] - Initiate model
[2026-01-16 05:47:38,592] [INFO] - Weights Shape: torch.Size([3, 16, 3])
[2026-01-16 05:47:38,593] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 05:49:17,320] [INFO] - [  100/ 9800] | Cost: 0.6943768 | Accuracy: 0.3100000
[2026-01-16 05:50:42,239] [INFO] - [  200/ 9800] | Cost: 0.6829857 | Accuracy: 0.6100000
[2026-01-16 05:52:25,859] [INFO] - [  300/ 9800] | Cost: 0.6964076 | Accuracy: 0.5000000
[2026-01-16 05:54:08,488] [INFO] - [  400/ 9800] | Cost: 0.7198193 | Accuracy: 0.4100000
[2026-01-16 05:55:52,169] [INFO] - [  500/ 9800] | Cost: 0.6993695 | Accuracy: 0.4800000
[2026-01-16 05:57:23,061] [INFO] - [  600/ 9800] | Cost: 0.6942098 | Accuracy: 0.4800000
[2026-01-16 05:59:12,146] [INFO] - [  700/ 9800] | Cost: 0.6896376 | Accuracy: 0.4800000
[2026-01-16 06:00:53,755] [INFO] - [  800/ 9800] | Cost: 0.6767479 | Accuracy: 0.5600000
[2026-01-16 06:02:37,928] [INFO] - [  900/ 9800] | Cost: 0.6826019 | Accuracy: 0.4400000
[2026-01-16 06:04:18,443] [INFO] - [ 1000/ 9800] | Cost: 0.6753760 | Accuracy: 0.8800000
[2026-01-16 06:05:59,613] [INFO] - [ 1100/ 9800] | Cost: 0.6732656 | Accuracy: 0.9200000
[2026-01-16 06:07:49,699] [INFO] - [ 1200/ 9800] | Cost: 0.6643246 | Accuracy: 0.9400000
