[2026-01-16 11:53:56,520] [INFO] - seed: 0
image_preprocessing: HomomorphicFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 16
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-16 11:53:56,524] [INFO] - Using cuda.
[2026-01-16 11:53:56,950] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-16 11:53:56,953] [INFO] - Initiate model
[2026-01-16 11:53:57,362] [INFO] - Weights Shape: torch.Size([3, 17, 3])
[2026-01-16 11:53:57,363] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 11:56:42,823] [INFO] - [  100/ 9800] | Cost: 0.6929752 | Accuracy: 0.5600000
[2026-01-16 11:59:46,128] [INFO] - [  200/ 9800] | Cost: 0.6823958 | Accuracy: 0.6100000
[2026-01-16 12:02:29,955] [INFO] - [  300/ 9800] | Cost: 0.6964015 | Accuracy: 0.5000000
[2026-01-16 12:05:26,533] [INFO] - [  400/ 9800] | Cost: 0.7196483 | Accuracy: 0.4100000
[2026-01-16 12:08:09,134] [INFO] - [  500/ 9800] | Cost: 0.6984978 | Accuracy: 0.4800000
[2026-01-16 12:11:33,358] [INFO] - [  600/ 9800] | Cost: 0.6932983 | Accuracy: 0.4800000
[2026-01-16 12:14:09,912] [INFO] - [  700/ 9800] | Cost: 0.6880112 | Accuracy: 0.4800000
[2026-01-16 12:17:09,920] [INFO] - [  800/ 9800] | Cost: 0.6717184 | Accuracy: 0.5600000
[2026-01-16 12:20:08,473] [INFO] - [  900/ 9800] | Cost: 0.6789886 | Accuracy: 0.4400000
[2026-01-16 12:23:05,852] [INFO] - [ 1000/ 9800] | Cost: 0.6640289 | Accuracy: 0.8400000
[2026-01-16 12:26:02,199] [INFO] - [ 1100/ 9800] | Cost: 0.6593097 | Accuracy: 0.8700000
[2026-01-16 12:28:37,561] [INFO] - [ 1200/ 9800] | Cost: 0.6499183 | Accuracy: 0.9400000
[2026-01-16 12:31:37,805] [INFO] - [ 1300/ 9800] | Cost: 0.6381109 | Accuracy: 0.9100000
[2026-01-16 12:34:39,551] [INFO] - [ 1400/ 9800] | Cost: 0.6289372 | Accuracy: 0.9200000
[2026-01-16 12:37:21,267] [INFO] - [ 1500/ 9800] | Cost: 0.6194286 | Accuracy: 0.9100000
[2026-01-16 12:40:14,918] [INFO] - [ 1600/ 9800] | Cost: 0.6246300 | Accuracy: 0.8600000
[2026-01-16 12:43:23,552] [INFO] - [ 1700/ 9800] | Cost: 0.6081369 | Accuracy: 0.9100000
[2026-01-16 12:46:11,864] [INFO] - [ 1800/ 9800] | Cost: 0.6039399 | Accuracy: 0.8900000
[2026-01-16 12:49:10,427] [INFO] - [ 1900/ 9800] | Cost: 0.5902432 | Accuracy: 0.9200000
[2026-01-16 12:51:52,966] [INFO] - [ 2000/ 9800] | Cost: 0.5690976 | Accuracy: 0.9600000
[2026-01-16 12:55:15,711] [INFO] - [ 2100/ 9800] | Cost: 0.5699659 | Accuracy: 0.9600000
[2026-01-16 12:58:06,799] [INFO] - [ 2200/ 9800] | Cost: 0.5754347 | Accuracy: 0.9400000
[2026-01-16 13:00:44,372] [INFO] - [ 2300/ 9800] | Cost: 0.5843479 | Accuracy: 0.9000000
[2026-01-16 13:03:15,381] [INFO] - [ 2400/ 9800] | Cost: 0.5597630 | Accuracy: 0.9400000
[2026-01-16 13:06:06,523] [INFO] - [ 2500/ 9800] | Cost: 0.5648751 | Accuracy: 0.8800000
[2026-01-16 13:08:58,247] [INFO] - [ 2600/ 9800] | Cost: 0.5696340 | Accuracy: 0.8700000
[2026-01-16 13:11:26,165] [INFO] - [ 2700/ 9800] | Cost: 0.5650671 | Accuracy: 0.8800000
[2026-01-16 13:14:10,705] [INFO] - [ 2800/ 9800] | Cost: 0.5532698 | Accuracy: 0.9200000
[2026-01-16 13:17:06,721] [INFO] - [ 2900/ 9800] | Cost: 0.5666250 | Accuracy: 0.8600000
[2026-01-16 13:19:47,342] [INFO] - [ 3000/ 9800] | Cost: 0.5418179 | Accuracy: 0.9300000
[2026-01-16 13:22:26,479] [INFO] - [ 3100/ 9800] | Cost: 0.5725396 | Accuracy: 0.8600000
[2026-01-16 13:25:08,413] [INFO] - [ 3200/ 9800] | Cost: 0.5589513 | Accuracy: 0.8900000
[2026-01-16 13:28:12,054] [INFO] - [ 3300/ 9800] | Cost: 0.5721846 | Accuracy: 0.9100000
[2026-01-16 13:30:44,636] [INFO] - [ 3400/ 9800] | Cost: 0.5584547 | Accuracy: 0.9300000
[2026-01-16 13:33:38,013] [INFO] - [ 3500/ 9800] | Cost: 0.5597708 | Accuracy: 0.9000000
[2026-01-16 13:36:21,542] [INFO] - [ 3600/ 9800] | Cost: 0.5529456 | Accuracy: 0.9500000
[2026-01-16 13:39:42,354] [INFO] - [ 3700/ 9800] | Cost: 0.5561590 | Accuracy: 0.9300000
[2026-01-16 13:42:30,238] [INFO] - [ 3800/ 9800] | Cost: 0.5485124 | Accuracy: 0.9600000
[2026-01-16 13:45:07,249] [INFO] - [ 3900/ 9800] | Cost: 0.5766962 | Accuracy: 0.8800000
[2026-01-16 13:47:59,547] [INFO] - [ 4000/ 9800] | Cost: 0.5708187 | Accuracy: 0.9300000
[2026-01-16 13:51:05,157] [INFO] - [ 4100/ 9800] | Cost: 0.5565834 | Accuracy: 0.9200000
[2026-01-16 13:53:52,156] [INFO] - [ 4200/ 9800] | Cost: 0.5766315 | Accuracy: 0.9100000
[2026-01-16 13:56:45,096] [INFO] - [ 4300/ 9800] | Cost: 0.5571525 | Accuracy: 0.8900000
[2026-01-16 13:59:31,554] [INFO] - [ 4400/ 9800] | Cost: 0.5561086 | Accuracy: 0.9500000
[2026-01-16 14:02:39,798] [INFO] - [ 4500/ 9800] | Cost: 0.5594103 | Accuracy: 0.9000000
[2026-01-16 14:05:30,233] [INFO] - [ 4600/ 9800] | Cost: 0.5643813 | Accuracy: 0.9000000
[2026-01-16 14:08:08,981] [INFO] - [ 4700/ 9800] | Cost: 0.5529410 | Accuracy: 0.9600000
[2026-01-16 14:11:08,634] [INFO] - [ 4800/ 9800] | Cost: 0.5749291 | Accuracy: 0.9000000
