[2026-01-16 12:30:00,253] [INFO] - seed: 0
image_preprocessing: None
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_rgb
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: FRQI
  pca: false
  supports_color: false

[2026-01-16 12:30:00,255] [INFO] - Using cuda.
[2026-01-16 12:30:00,293] [INFO] - Dataset: eurosat_rgb | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-16 12:30:00,295] [INFO] - Initiate model
[2026-01-16 12:30:00,296] [INFO] - Weights Shape: torch.Size([3, 11, 3])
[2026-01-16 12:30:00,298] [INFO] - Bias Shape: torch.Size([2])
[2026-01-16 12:32:10,658] [INFO] - [  100/ 4200] | Cost: 0.7055473 | Accuracy: 0.0400000
[2026-01-16 12:34:19,592] [INFO] - [  200/ 4200] | Cost: 0.6904997 | Accuracy: 0.5700000
[2026-01-16 12:36:28,510] [INFO] - [  300/ 4200] | Cost: 0.7088457 | Accuracy: 0.4500000
[2026-01-16 12:38:42,763] [INFO] - [  400/ 4200] | Cost: 0.6999977 | Accuracy: 0.4700000
[2026-01-16 12:40:42,361] [INFO] - [  500/ 4200] | Cost: 0.6920900 | Accuracy: 0.4900000
[2026-01-16 12:43:05,462] [INFO] - [  600/ 4200] | Cost: 0.6814693 | Accuracy: 0.5500000
[2026-01-16 12:45:17,340] [INFO] - [  700/ 4200] | Cost: 0.6830803 | Accuracy: 0.5000000
[2026-01-16 12:47:24,672] [INFO] - [  800/ 4200] | Cost: 0.6804117 | Accuracy: 0.9100000
[2026-01-16 12:49:36,303] [INFO] - [  900/ 4200] | Cost: 0.6767805 | Accuracy: 0.7400000
[2026-01-16 12:51:45,918] [INFO] - [ 1000/ 4200] | Cost: 0.6704796 | Accuracy: 0.5900000
[2026-01-16 12:54:05,004] [INFO] - [ 1100/ 4200] | Cost: 0.6721274 | Accuracy: 0.5300000
[2026-01-16 12:56:11,128] [INFO] - [ 1200/ 4200] | Cost: 0.6671445 | Accuracy: 0.5500000
[2026-01-16 12:58:29,368] [INFO] - [ 1300/ 4200] | Cost: 0.6589056 | Accuracy: 0.6400000
[2026-01-16 13:00:23,703] [INFO] - [ 1400/ 4200] | Cost: 0.6397874 | Accuracy: 0.9100000
[2026-01-16 13:02:15,616] [INFO] - [ 1500/ 4200] | Cost: 0.6279356 | Accuracy: 0.9700000
[2026-01-16 13:04:30,392] [INFO] - [ 1600/ 4200] | Cost: 0.6308705 | Accuracy: 0.9200000
[2026-01-16 13:06:36,300] [INFO] - [ 1700/ 4200] | Cost: 0.6110023 | Accuracy: 0.8600000
[2026-01-16 13:08:42,279] [INFO] - [ 1800/ 4200] | Cost: 0.5854423 | Accuracy: 0.9200000
[2026-01-16 13:10:25,275] [INFO] - [ 1900/ 4200] | Cost: 0.5685642 | Accuracy: 0.9400000
[2026-01-16 13:12:21,531] [INFO] - [ 2000/ 4200] | Cost: 0.5441622 | Accuracy: 0.9300000
[2026-01-16 13:14:27,384] [INFO] - [ 2100/ 4200] | Cost: 0.5245719 | Accuracy: 0.9800000
[2026-01-16 13:16:42,382] [INFO] - [ 2200/ 4200] | Cost: 0.5041694 | Accuracy: 0.9800000
[2026-01-16 13:18:48,625] [INFO] - [ 2300/ 4200] | Cost: 0.4851386 | Accuracy: 0.9500000
[2026-01-16 13:20:30,735] [INFO] - [ 2400/ 4200] | Cost: 0.4340048 | Accuracy: 0.9800000
[2026-01-16 13:22:36,390] [INFO] - [ 2500/ 4200] | Cost: 0.4301336 | Accuracy: 0.9600000
[2026-01-16 13:24:25,396] [INFO] - [ 2600/ 4200] | Cost: 0.4528047 | Accuracy: 0.9700000
[2026-01-16 13:26:30,537] [INFO] - [ 2700/ 4200] | Cost: 0.4288997 | Accuracy: 0.9300000
[2026-01-16 13:28:47,821] [INFO] - [ 2800/ 4200] | Cost: 0.4284564 | Accuracy: 0.9000000
[2026-01-16 13:30:50,299] [INFO] - [ 2900/ 4200] | Cost: 0.4374997 | Accuracy: 0.9300000
[2026-01-16 13:32:55,614] [INFO] - [ 3000/ 4200] | Cost: 0.4036703 | Accuracy: 0.9600000
[2026-01-16 13:35:00,426] [INFO] - [ 3100/ 4200] | Cost: 0.4288264 | Accuracy: 0.9400000
[2026-01-16 13:37:14,478] [INFO] - [ 3200/ 4200] | Cost: 0.4202834 | Accuracy: 0.9600000
[2026-01-16 13:39:27,406] [INFO] - [ 3300/ 4200] | Cost: 0.4242321 | Accuracy: 0.9400000
[2026-01-16 13:41:34,316] [INFO] - [ 3400/ 4200] | Cost: 0.4422162 | Accuracy: 0.9100000
[2026-01-16 13:43:40,709] [INFO] - [ 3500/ 4200] | Cost: 0.4362471 | Accuracy: 0.9500000
[2026-01-16 13:45:30,847] [INFO] - [ 3600/ 4200] | Cost: 0.4208366 | Accuracy: 0.9500000
[2026-01-16 13:47:31,185] [INFO] - [ 3700/ 4200] | Cost: 0.4141326 | Accuracy: 0.9800000
[2026-01-16 13:49:46,880] [INFO] - [ 3800/ 4200] | Cost: 0.4457215 | Accuracy: 0.9200000
[2026-01-16 13:51:48,534] [INFO] - [ 3900/ 4200] | Cost: 0.4326631 | Accuracy: 0.9200000
[2026-01-16 13:53:45,617] [INFO] - [ 4000/ 4200] | Cost: 0.4009238 | Accuracy: 0.9500000
[2026-01-16 13:55:51,515] [INFO] - [ 4100/ 4200] | Cost: 0.4082925 | Accuracy: 0.9700000
[2026-01-16 13:57:46,465] [INFO] - [ 4200/ 4200] | Cost: 0.4328214 | Accuracy: 0.9300000
[2026-01-16 14:13:22,781] [INFO] - Model dict saved to /workspace/persistent/embedding_colosseum/multirun/2026-01-15/22-04-31/97/saved_models/model_epoch-0.pt
[2026-01-16 14:13:22,798] [INFO] - Validation for epoch   0 | Cost: 0.4085624 | Accuracy: 0.9283333
