[2026-01-17 16:04:17,895] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: fashion
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-17 16:04:17,899] [INFO] - Using cuda.
[2026-01-17 16:04:18,524] [INFO] - Dataset: fashion | Train Size: 9800 | Validation Size: 2800 | Test Size: 1400
[2026-01-17 16:04:18,526] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 16:04:24,099] [INFO] - Initiate model
[2026-01-17 16:04:24,164] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 16:04:24,165] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 16:05:17,243] [INFO] - [  100/ 9800] | Cost: 0.7006899 | Accuracy: 0.5100000
[2026-01-17 16:06:10,632] [INFO] - [  200/ 9800] | Cost: 0.6932538 | Accuracy: 0.5700000
[2026-01-17 16:07:03,936] [INFO] - [  300/ 9800] | Cost: 0.6639456 | Accuracy: 0.6500000
[2026-01-17 16:07:57,493] [INFO] - [  400/ 9800] | Cost: 0.6491490 | Accuracy: 0.7900000
[2026-01-17 16:08:50,676] [INFO] - [  500/ 9800] | Cost: 0.6202391 | Accuracy: 0.9400000
[2026-01-17 16:09:44,108] [INFO] - [  600/ 9800] | Cost: 0.5853802 | Accuracy: 0.9200000
[2026-01-17 16:10:37,440] [INFO] - [  700/ 9800] | Cost: 0.5696400 | Accuracy: 0.9200000
[2026-01-17 16:11:30,977] [INFO] - [  800/ 9800] | Cost: 0.5475031 | Accuracy: 0.9600000
[2026-01-17 16:12:24,182] [INFO] - [  900/ 9800] | Cost: 0.5382297 | Accuracy: 0.9400000
[2026-01-17 16:13:17,662] [INFO] - [ 1000/ 9800] | Cost: 0.5335653 | Accuracy: 0.9200000
[2026-01-17 16:14:11,086] [INFO] - [ 1100/ 9800] | Cost: 0.5269538 | Accuracy: 0.9300000
[2026-01-17 16:15:04,554] [INFO] - [ 1200/ 9800] | Cost: 0.5064651 | Accuracy: 0.9100000
[2026-01-17 16:15:58,006] [INFO] - [ 1300/ 9800] | Cost: 0.5092931 | Accuracy: 0.9100000
[2026-01-17 16:16:51,280] [INFO] - [ 1400/ 9800] | Cost: 0.5023537 | Accuracy: 0.8700000
[2026-01-17 16:17:44,621] [INFO] - [ 1500/ 9800] | Cost: 0.4869843 | Accuracy: 0.9000000
[2026-01-17 16:18:38,071] [INFO] - [ 1600/ 9800] | Cost: 0.4852167 | Accuracy: 0.8600000
[2026-01-17 16:19:31,508] [INFO] - [ 1700/ 9800] | Cost: 0.4770691 | Accuracy: 0.9000000
[2026-01-17 16:20:24,834] [INFO] - [ 1800/ 9800] | Cost: 0.4746296 | Accuracy: 0.9100000
[2026-01-17 16:21:18,184] [INFO] - [ 1900/ 9800] | Cost: 0.4644816 | Accuracy: 0.9200000
[2026-01-17 16:22:11,616] [INFO] - [ 2000/ 9800] | Cost: 0.4602380 | Accuracy: 0.9100000
[2026-01-17 16:23:04,981] [INFO] - [ 2100/ 9800] | Cost: 0.4566570 | Accuracy: 0.8800000
[2026-01-17 16:23:58,316] [INFO] - [ 2200/ 9800] | Cost: 0.4389665 | Accuracy: 0.9300000
[2026-01-17 16:24:51,713] [INFO] - [ 2300/ 9800] | Cost: 0.4560198 | Accuracy: 0.8800000
[2026-01-17 16:25:45,148] [INFO] - [ 2400/ 9800] | Cost: 0.4444990 | Accuracy: 0.8800000
[2026-01-17 16:26:38,536] [INFO] - [ 2500/ 9800] | Cost: 0.4559183 | Accuracy: 0.9100000
[2026-01-17 16:27:31,884] [INFO] - [ 2600/ 9800] | Cost: 0.4696415 | Accuracy: 0.8600000
[2026-01-17 16:28:25,343] [INFO] - [ 2700/ 9800] | Cost: 0.4375391 | Accuracy: 0.9100000
[2026-01-17 16:29:18,822] [INFO] - [ 2800/ 9800] | Cost: 0.4492730 | Accuracy: 0.8500000
[2026-01-17 16:30:12,239] [INFO] - [ 2900/ 9800] | Cost: 0.4248233 | Accuracy: 0.8800000
