[2026-01-17 17:32:21,389] [INFO] - seed: 0
image_preprocessing: None
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_rgb
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-17 17:32:21,391] [INFO] - Using cuda.
[2026-01-17 17:32:21,440] [INFO] - Dataset: eurosat_rgb | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-17 17:32:21,442] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 17:32:41,256] [INFO] - Initiate model
[2026-01-17 17:32:41,261] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 17:32:41,262] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 17:33:34,575] [INFO] - [  100/ 4200] | Cost: 0.6968463 | Accuracy: 0.6500000
[2026-01-17 17:34:28,163] [INFO] - [  200/ 4200] | Cost: 0.6667309 | Accuracy: 0.4800000
[2026-01-17 17:35:21,696] [INFO] - [  300/ 4200] | Cost: 0.6491615 | Accuracy: 0.4400000
[2026-01-17 17:36:13,777] [INFO] - [  400/ 4200] | Cost: 0.6115960 | Accuracy: 0.9600000
[2026-01-17 17:36:48,283] [INFO] - [  500/ 4200] | Cost: 0.5831661 | Accuracy: 0.9900000
[2026-01-17 17:37:28,130] [INFO] - [  600/ 4200] | Cost: 0.5662299 | Accuracy: 0.9200000
[2026-01-17 17:38:17,075] [INFO] - [  700/ 4200] | Cost: 0.5521654 | Accuracy: 0.8700000
[2026-01-17 17:39:10,476] [INFO] - [  800/ 4200] | Cost: 0.5598794 | Accuracy: 0.7900000
[2026-01-17 17:40:03,915] [INFO] - [  900/ 4200] | Cost: 0.5362818 | Accuracy: 0.8300000
[2026-01-17 17:40:57,115] [INFO] - [ 1000/ 4200] | Cost: 0.5306356 | Accuracy: 0.7900000
[2026-01-17 17:41:50,553] [INFO] - [ 1100/ 4200] | Cost: 0.4978470 | Accuracy: 0.8700000
[2026-01-17 17:42:44,048] [INFO] - [ 1200/ 4200] | Cost: 0.4780072 | Accuracy: 0.9200000
[2026-01-17 17:43:37,501] [INFO] - [ 1300/ 4200] | Cost: 0.4575461 | Accuracy: 0.9100000
[2026-01-17 17:44:30,677] [INFO] - [ 1400/ 4200] | Cost: 0.4705240 | Accuracy: 0.9400000
[2026-01-17 17:45:24,077] [INFO] - [ 1500/ 4200] | Cost: 0.4380047 | Accuracy: 0.9500000
[2026-01-17 17:46:17,473] [INFO] - [ 1600/ 4200] | Cost: 0.4262860 | Accuracy: 0.9600000
[2026-01-17 17:47:10,895] [INFO] - [ 1700/ 4200] | Cost: 0.4121577 | Accuracy: 0.9800000
[2026-01-17 17:48:04,132] [INFO] - [ 1800/ 4200] | Cost: 0.4055831 | Accuracy: 0.9900000
[2026-01-17 17:48:57,578] [INFO] - [ 1900/ 4200] | Cost: 0.3759728 | Accuracy: 0.9700000
[2026-01-17 17:49:50,954] [INFO] - [ 2000/ 4200] | Cost: 0.3893482 | Accuracy: 0.9300000
[2026-01-17 17:50:44,351] [INFO] - [ 2100/ 4200] | Cost: 0.3920328 | Accuracy: 0.9300000
[2026-01-17 17:51:37,607] [INFO] - [ 2200/ 4200] | Cost: 0.3822028 | Accuracy: 0.9100000
[2026-01-17 17:52:31,091] [INFO] - [ 2300/ 4200] | Cost: 0.3542000 | Accuracy: 0.9400000
[2026-01-17 17:53:24,491] [INFO] - [ 2400/ 4200] | Cost: 0.3397169 | Accuracy: 0.9700000
[2026-01-17 17:54:17,909] [INFO] - [ 2500/ 4200] | Cost: 0.3903139 | Accuracy: 0.9200000
[2026-01-17 17:55:11,279] [INFO] - [ 2600/ 4200] | Cost: 0.3440770 | Accuracy: 0.9500000
[2026-01-17 17:56:04,514] [INFO] - [ 2700/ 4200] | Cost: 0.3664496 | Accuracy: 0.8900000
[2026-01-17 17:56:57,982] [INFO] - [ 2800/ 4200] | Cost: 0.3708594 | Accuracy: 0.9000000
[2026-01-17 17:57:51,387] [INFO] - [ 2900/ 4200] | Cost: 0.3292980 | Accuracy: 0.9700000
[2026-01-17 17:58:44,756] [INFO] - [ 3000/ 4200] | Cost: 0.3371474 | Accuracy: 0.9300000
[2026-01-17 17:59:37,973] [INFO] - [ 3100/ 4200] | Cost: 0.3516947 | Accuracy: 0.8900000
[2026-01-17 18:00:31,401] [INFO] - [ 3200/ 4200] | Cost: 0.3419222 | Accuracy: 0.9200000
[2026-01-17 18:01:24,828] [INFO] - [ 3300/ 4200] | Cost: 0.3464948 | Accuracy: 0.9600000
[2026-01-17 18:02:18,038] [INFO] - [ 3400/ 4200] | Cost: 0.3667266 | Accuracy: 0.9500000
[2026-01-17 18:03:11,431] [INFO] - [ 3500/ 4200] | Cost: 0.3332725 | Accuracy: 0.9800000
[2026-01-17 18:04:04,845] [INFO] - [ 3600/ 4200] | Cost: 0.3300563 | Accuracy: 0.9700000
[2026-01-17 18:04:58,247] [INFO] - [ 3700/ 4200] | Cost: 0.3298889 | Accuracy: 0.9500000
[2026-01-17 18:05:51,490] [INFO] - [ 3800/ 4200] | Cost: 0.3561150 | Accuracy: 0.9600000
[2026-01-17 18:06:44,959] [INFO] - [ 3900/ 4200] | Cost: 0.3375279 | Accuracy: 0.9800000
