[2026-01-17 17:37:02,471] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_ms
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-17 17:37:02,473] [INFO] - Using cuda.
[2026-01-17 17:37:02,523] [INFO] - Dataset: eurosat_ms | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-17 17:37:02,525] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 17:37:45,007] [INFO] - Initiate model
[2026-01-17 17:37:45,011] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 17:37:45,012] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 17:38:38,550] [INFO] - [  100/ 4200] | Cost: 0.6874965 | Accuracy: 0.5100000
[2026-01-17 17:39:31,857] [INFO] - [  200/ 4200] | Cost: 0.6678807 | Accuracy: 0.7600000
[2026-01-17 17:40:25,364] [INFO] - [  300/ 4200] | Cost: 0.6717260 | Accuracy: 0.5000000
[2026-01-17 17:41:18,873] [INFO] - [  400/ 4200] | Cost: 0.6491448 | Accuracy: 0.6400000
[2026-01-17 17:42:12,380] [INFO] - [  500/ 4200] | Cost: 0.6434991 | Accuracy: 0.6400000
[2026-01-17 17:43:05,626] [INFO] - [  600/ 4200] | Cost: 0.6179526 | Accuracy: 0.9000000
[2026-01-17 17:43:59,081] [INFO] - [  700/ 4200] | Cost: 0.6046773 | Accuracy: 0.8700000
[2026-01-17 17:44:52,505] [INFO] - [  800/ 4200] | Cost: 0.6212007 | Accuracy: 0.7400000
[2026-01-17 17:45:45,941] [INFO] - [  900/ 4200] | Cost: 0.5685164 | Accuracy: 0.9000000
[2026-01-17 17:46:39,167] [INFO] - [ 1000/ 4200] | Cost: 0.5641754 | Accuracy: 0.8500000
[2026-01-17 17:47:32,605] [INFO] - [ 1100/ 4200] | Cost: 0.5589417 | Accuracy: 0.8900000
[2026-01-17 17:48:26,040] [INFO] - [ 1200/ 4200] | Cost: 0.5259833 | Accuracy: 0.8600000
[2026-01-17 17:49:19,422] [INFO] - [ 1300/ 4200] | Cost: 0.4939702 | Accuracy: 0.9200000
[2026-01-17 17:50:12,780] [INFO] - [ 1400/ 4200] | Cost: 0.4794129 | Accuracy: 0.9200000
[2026-01-17 17:51:06,007] [INFO] - [ 1500/ 4200] | Cost: 0.4400975 | Accuracy: 0.9500000
[2026-01-17 17:51:59,401] [INFO] - [ 1600/ 4200] | Cost: 0.4641885 | Accuracy: 0.9200000
[2026-01-17 17:52:52,723] [INFO] - [ 1700/ 4200] | Cost: 0.4594546 | Accuracy: 0.8800000
[2026-01-17 17:53:45,907] [INFO] - [ 1800/ 4200] | Cost: 0.4430919 | Accuracy: 0.8800000
[2026-01-17 17:54:39,283] [INFO] - [ 1900/ 4200] | Cost: 0.4429536 | Accuracy: 0.8500000
[2026-01-17 17:55:32,686] [INFO] - [ 2000/ 4200] | Cost: 0.4511186 | Accuracy: 0.8600000
[2026-01-17 17:56:26,100] [INFO] - [ 2100/ 4200] | Cost: 0.4564715 | Accuracy: 0.8500000
[2026-01-17 17:57:19,432] [INFO] - [ 2200/ 4200] | Cost: 0.4386280 | Accuracy: 0.8700000
[2026-01-17 17:58:12,638] [INFO] - [ 2300/ 4200] | Cost: 0.4212573 | Accuracy: 0.9200000
[2026-01-17 17:59:06,018] [INFO] - [ 2400/ 4200] | Cost: 0.4218650 | Accuracy: 0.8900000
[2026-01-17 17:59:59,376] [INFO] - [ 2500/ 4200] | Cost: 0.4059291 | Accuracy: 0.9000000
[2026-01-17 18:00:52,749] [INFO] - [ 2600/ 4200] | Cost: 0.4544088 | Accuracy: 0.8500000
[2026-01-17 18:01:45,990] [INFO] - [ 2700/ 4200] | Cost: 0.4402872 | Accuracy: 0.8900000
[2026-01-17 18:02:39,373] [INFO] - [ 2800/ 4200] | Cost: 0.4344278 | Accuracy: 0.9000000
[2026-01-17 18:03:32,750] [INFO] - [ 2900/ 4200] | Cost: 0.4053362 | Accuracy: 0.9000000
[2026-01-17 18:04:26,133] [INFO] - [ 3000/ 4200] | Cost: 0.4217573 | Accuracy: 0.9200000
[2026-01-17 18:05:19,534] [INFO] - [ 3100/ 4200] | Cost: 0.4325684 | Accuracy: 0.8500000
[2026-01-17 18:06:12,761] [INFO] - [ 3200/ 4200] | Cost: 0.4751776 | Accuracy: 0.8100000
[2026-01-17 18:07:06,108] [INFO] - [ 3300/ 4200] | Cost: 0.4572846 | Accuracy: 0.8700000
[2026-01-17 18:07:59,506] [INFO] - [ 3400/ 4200] | Cost: 0.4141712 | Accuracy: 0.9300000
[2026-01-17 18:08:52,884] [INFO] - [ 3500/ 4200] | Cost: 0.4116101 | Accuracy: 0.9200000
[2026-01-17 18:09:44,362] [INFO] - [ 3600/ 4200] | Cost: 0.4239776 | Accuracy: 0.8700000
[2026-01-17 18:10:32,065] [INFO] - [ 3700/ 4200] | Cost: 0.3978957 | Accuracy: 0.9300000
[2026-01-17 18:11:25,438] [INFO] - [ 3800/ 4200] | Cost: 0.4847639 | Accuracy: 0.8300000
[2026-01-17 18:12:18,793] [INFO] - [ 3900/ 4200] | Cost: 0.4337021 | Accuracy: 0.8400000
[2026-01-17 18:13:12,154] [INFO] - [ 4000/ 4200] | Cost: 0.4153460 | Accuracy: 0.8800000
[2026-01-17 18:14:03,784] [INFO] - [ 4100/ 4200] | Cost: 0.4418334 | Accuracy: 0.9100000
[2026-01-17 18:14:47,545] [INFO] - [ 4200/ 4200] | Cost: 0.4156695 | Accuracy: 0.8900000
[2026-01-17 18:15:07,425] [INFO] - Model dict saved to /workspace/persistent/embedding_colosseum/multirun/2026-01-17/16-03-43/58/saved_models/model_epoch-0.pt
[2026-01-17 18:15:07,427] [INFO] - Validation for epoch   0 | Cost: 0.4223908 | Accuracy: 0.8883333
