[2026-01-17 18:14:15,970] [INFO] - seed: 0
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: ZZFeatureMap
  pca: true
  supports_color: true

[2026-01-17 18:14:15,972] [INFO] - Using cuda.
[2026-01-17 18:14:17,368] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-17 18:14:17,371] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 18:14:23,631] [INFO] - Initiate model
[2026-01-17 18:14:23,706] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 18:14:23,707] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 18:15:13,368] [INFO] - [  100/ 8400] | Cost: 0.6965533 | Accuracy: 0.4800000
[2026-01-17 18:16:04,252] [INFO] - [  200/ 8400] | Cost: 0.7067247 | Accuracy: 0.4600000
[2026-01-17 18:16:57,515] [INFO] - [  300/ 8400] | Cost: 0.6803357 | Accuracy: 0.5400000
[2026-01-17 18:17:51,032] [INFO] - [  400/ 8400] | Cost: 0.6861923 | Accuracy: 0.5400000
[2026-01-17 18:18:44,521] [INFO] - [  500/ 8400] | Cost: 0.6654156 | Accuracy: 0.6500000
[2026-01-17 18:19:37,984] [INFO] - [  600/ 8400] | Cost: 0.6655838 | Accuracy: 0.6400000
[2026-01-17 18:20:31,488] [INFO] - [  700/ 8400] | Cost: 0.6668454 | Accuracy: 0.5900000
[2026-01-17 18:21:24,984] [INFO] - [  800/ 8400] | Cost: 0.6695073 | Accuracy: 0.6000000
[2026-01-17 18:22:18,228] [INFO] - [  900/ 8400] | Cost: 0.6405634 | Accuracy: 0.6400000
[2026-01-17 18:23:11,694] [INFO] - [ 1000/ 8400] | Cost: 0.6084306 | Accuracy: 0.7900000
[2026-01-17 18:24:05,142] [INFO] - [ 1100/ 8400] | Cost: 0.6206645 | Accuracy: 0.7400000
[2026-01-17 18:24:58,580] [INFO] - [ 1200/ 8400] | Cost: 0.6330401 | Accuracy: 0.6500000
[2026-01-17 18:25:52,027] [INFO] - [ 1300/ 8400] | Cost: 0.6304976 | Accuracy: 0.6700000
[2026-01-17 18:26:45,507] [INFO] - [ 1400/ 8400] | Cost: 0.5981033 | Accuracy: 0.7500000
