[2026-01-17 18:14:21,453] [INFO] - seed: 0
image_preprocessing: MedianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-17 18:14:21,455] [INFO] - Using cuda.
[2026-01-17 18:14:23,016] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-17 18:14:23,018] [INFO] - Applying PCA Loader to the dataset
[2026-01-17 18:14:26,035] [INFO] - Initiate model
[2026-01-17 18:14:26,037] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-17 18:14:26,038] [INFO] - Bias Shape: torch.Size([2])
[2026-01-17 18:15:15,276] [INFO] - [  100/ 8400] | Cost: 0.7049248 | Accuracy: 0.3800000
[2026-01-17 18:16:06,276] [INFO] - [  200/ 8400] | Cost: 0.6835032 | Accuracy: 0.5900000
[2026-01-17 18:16:59,651] [INFO] - [  300/ 8400] | Cost: 0.6883488 | Accuracy: 0.5300000
[2026-01-17 18:17:53,006] [INFO] - [  400/ 8400] | Cost: 0.6955795 | Accuracy: 0.4900000
[2026-01-17 18:18:46,386] [INFO] - [  500/ 8400] | Cost: 0.6870979 | Accuracy: 0.4900000
[2026-01-17 18:19:39,815] [INFO] - [  600/ 8400] | Cost: 0.6688925 | Accuracy: 0.7100000
[2026-01-17 18:20:33,025] [INFO] - [  700/ 8400] | Cost: 0.6803395 | Accuracy: 0.5700000
[2026-01-17 18:21:26,458] [INFO] - [  800/ 8400] | Cost: 0.6774290 | Accuracy: 0.5600000
[2026-01-17 18:22:19,811] [INFO] - [  900/ 8400] | Cost: 0.6629664 | Accuracy: 0.6700000
[2026-01-17 18:23:13,213] [INFO] - [ 1000/ 8400] | Cost: 0.6455841 | Accuracy: 0.7700000
[2026-01-17 18:24:06,444] [INFO] - [ 1100/ 8400] | Cost: 0.6569284 | Accuracy: 0.6800000
[2026-01-17 18:24:59,871] [INFO] - [ 1200/ 8400] | Cost: 0.6412199 | Accuracy: 0.7300000
[2026-01-17 18:25:53,241] [INFO] - [ 1300/ 8400] | Cost: 0.6657243 | Accuracy: 0.6400000
[2026-01-17 18:26:46,651] [INFO] - [ 1400/ 8400] | Cost: 0.6372840 | Accuracy: 0.7200000
[2026-01-17 18:27:39,823] [INFO] - [ 1500/ 8400] | Cost: 0.6348652 | Accuracy: 0.6800000
[2026-01-17 18:28:33,198] [INFO] - [ 1600/ 8400] | Cost: 0.6471916 | Accuracy: 0.6500000
[2026-01-17 18:29:26,560] [INFO] - [ 1700/ 8400] | Cost: 0.6369765 | Accuracy: 0.7400000
[2026-01-17 18:30:19,975] [INFO] - [ 1800/ 8400] | Cost: 0.6448484 | Accuracy: 0.7000000
[2026-01-17 18:31:13,184] [INFO] - [ 1900/ 8400] | Cost: 0.6337571 | Accuracy: 0.7000000
[2026-01-17 18:32:06,537] [INFO] - [ 2000/ 8400] | Cost: 0.6510102 | Accuracy: 0.6500000
[2026-01-17 18:32:59,922] [INFO] - [ 2100/ 8400] | Cost: 0.6437240 | Accuracy: 0.6800000
[2026-01-17 18:33:53,346] [INFO] - [ 2200/ 8400] | Cost: 0.6499873 | Accuracy: 0.6900000
[2026-01-17 18:34:46,739] [INFO] - [ 2300/ 8400] | Cost: 0.6427680 | Accuracy: 0.7100000
[2026-01-17 18:35:39,947] [INFO] - [ 2400/ 8400] | Cost: 0.6265482 | Accuracy: 0.6700000
[2026-01-17 18:36:33,350] [INFO] - [ 2500/ 8400] | Cost: 0.6341218 | Accuracy: 0.6700000
[2026-01-17 18:37:26,780] [INFO] - [ 2600/ 8400] | Cost: 0.6271439 | Accuracy: 0.6200000
[2026-01-17 18:38:20,165] [INFO] - [ 2700/ 8400] | Cost: 0.6296847 | Accuracy: 0.6200000
[2026-01-17 18:39:13,605] [INFO] - [ 2800/ 8400] | Cost: 0.6120869 | Accuracy: 0.6700000
[2026-01-17 18:40:06,824] [INFO] - [ 2900/ 8400] | Cost: 0.6104306 | Accuracy: 0.7300000
[2026-01-17 18:41:00,230] [INFO] - [ 3000/ 8400] | Cost: 0.6335163 | Accuracy: 0.6600000
[2026-01-17 18:41:53,642] [INFO] - [ 3100/ 8400] | Cost: 0.6220434 | Accuracy: 0.7200000
[2026-01-17 18:42:47,021] [INFO] - [ 3200/ 8400] | Cost: 0.6364418 | Accuracy: 0.6900000
[2026-01-17 18:43:40,223] [INFO] - [ 3300/ 8400] | Cost: 0.6458517 | Accuracy: 0.6900000
[2026-01-17 18:44:33,627] [INFO] - [ 3400/ 8400] | Cost: 0.6395155 | Accuracy: 0.6600000
[2026-01-17 18:45:27,026] [INFO] - [ 3500/ 8400] | Cost: 0.6339105 | Accuracy: 0.6900000
[2026-01-17 18:46:20,235] [INFO] - [ 3600/ 8400] | Cost: 0.5981010 | Accuracy: 0.7400000
[2026-01-17 18:47:13,541] [INFO] - [ 3700/ 8400] | Cost: 0.6120613 | Accuracy: 0.7400000
[2026-01-17 18:47:58,358] [INFO] - [ 3800/ 8400] | Cost: 0.5847700 | Accuracy: 0.7800000
[2026-01-17 18:48:51,199] [INFO] - [ 3900/ 8400] | Cost: 0.6144096 | Accuracy: 0.7100000
[2026-01-17 18:49:44,606] [INFO] - [ 4000/ 8400] | Cost: 0.6078514 | Accuracy: 0.6700000
[2026-01-17 18:50:37,730] [INFO] - [ 4100/ 8400] | Cost: 0.6411910 | Accuracy: 0.6700000
[2026-01-17 18:51:31,104] [INFO] - [ 4200/ 8400] | Cost: 0.6219515 | Accuracy: 0.7200000
[2026-01-17 18:52:24,449] [INFO] - [ 4300/ 8400] | Cost: 0.6473467 | Accuracy: 0.6100000
[2026-01-17 18:53:17,842] [INFO] - [ 4400/ 8400] | Cost: 0.6491874 | Accuracy: 0.6100000
[2026-01-17 18:54:11,182] [INFO] - [ 4500/ 8400] | Cost: 0.6350245 | Accuracy: 0.6700000
[2026-01-17 18:55:04,358] [INFO] - [ 4600/ 8400] | Cost: 0.6143408 | Accuracy: 0.7000000
[2026-01-17 18:55:57,675] [INFO] - [ 4700/ 8400] | Cost: 0.6280591 | Accuracy: 0.6900000
[2026-01-17 18:56:51,053] [INFO] - [ 4800/ 8400] | Cost: 0.6110001 | Accuracy: 0.7300000
[2026-01-17 18:57:44,164] [INFO] - [ 4900/ 8400] | Cost: 0.6191908 | Accuracy: 0.6900000
[2026-01-17 18:58:35,367] [INFO] - [ 5000/ 8400] | Cost: 0.6245743 | Accuracy: 0.7100000
[2026-01-17 18:59:22,073] [INFO] - [ 5100/ 8400] | Cost: 0.6041959 | Accuracy: 0.7300000
