[2026-01-18 02:06:49,974] [INFO] - seed: 1
image_preprocessing: HomomorphicFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: mnist
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-18 02:06:49,979] [INFO] - Using cuda.
[2026-01-18 02:06:50,410] [INFO] - Dataset: mnist | Train Size: 10346 | Validation Size: 2956 | Test Size: 1478
[2026-01-18 02:06:50,413] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 02:06:58,312] [INFO] - Initiate model
[2026-01-18 02:06:58,372] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 02:06:58,373] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 02:07:33,259] [INFO] - [  100/10346] | Cost: 0.7550187 | Accuracy: 0.4300000
[2026-01-18 02:08:08,184] [INFO] - [  200/10346] | Cost: 0.7122557 | Accuracy: 0.4500000
[2026-01-18 02:08:43,049] [INFO] - [  300/10346] | Cost: 0.6957983 | Accuracy: 0.4500000
[2026-01-18 02:09:18,105] [INFO] - [  400/10346] | Cost: 0.6719892 | Accuracy: 0.5500000
[2026-01-18 02:09:52,767] [INFO] - [  500/10346] | Cost: 0.6781846 | Accuracy: 0.4800000
[2026-01-18 02:10:27,690] [INFO] - [  600/10346] | Cost: 0.6187832 | Accuracy: 0.6400000
[2026-01-18 02:11:02,532] [INFO] - [  700/10346] | Cost: 0.6486906 | Accuracy: 0.5100000
[2026-01-18 02:11:37,573] [INFO] - [  800/10346] | Cost: 0.6206058 | Accuracy: 0.5200000
[2026-01-18 02:12:12,206] [INFO] - [  900/10346] | Cost: 0.6055253 | Accuracy: 0.6100000
[2026-01-18 02:12:47,122] [INFO] - [ 1000/10346] | Cost: 0.5925871 | Accuracy: 0.7100000
[2026-01-18 02:13:22,009] [INFO] - [ 1100/10346] | Cost: 0.5573816 | Accuracy: 0.9100000
[2026-01-18 02:13:56,861] [INFO] - [ 1200/10346] | Cost: 0.5479672 | Accuracy: 0.9500000
[2026-01-18 02:14:31,801] [INFO] - [ 1300/10346] | Cost: 0.5346370 | Accuracy: 0.9900000
[2026-01-18 02:15:06,499] [INFO] - [ 1400/10346] | Cost: 0.5293053 | Accuracy: 0.9500000
[2026-01-18 02:15:41,420] [INFO] - [ 1500/10346] | Cost: 0.5025024 | Accuracy: 0.9600000
[2026-01-18 02:16:16,339] [INFO] - [ 1600/10346] | Cost: 0.5253518 | Accuracy: 0.9200000
[2026-01-18 02:16:51,364] [INFO] - [ 1700/10346] | Cost: 0.5364096 | Accuracy: 0.8600000
[2026-01-18 02:17:26,090] [INFO] - [ 1800/10346] | Cost: 0.4987780 | Accuracy: 0.9400000
[2026-01-18 02:18:01,025] [INFO] - [ 1900/10346] | Cost: 0.4772691 | Accuracy: 0.9600000
[2026-01-18 02:18:35,951] [INFO] - [ 2000/10346] | Cost: 0.4879638 | Accuracy: 0.9400000
[2026-01-18 02:19:10,996] [INFO] - [ 2100/10346] | Cost: 0.4507745 | Accuracy: 0.9900000
[2026-01-18 02:19:45,907] [INFO] - [ 2200/10346] | Cost: 0.4824631 | Accuracy: 0.9500000
