[2026-01-18 02:06:50,244] [INFO] - seed: 1
image_preprocessing: GaussianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: mnist
  image_width_sweep: 16,32
  orig_width: 28
embedding:
  name: ZZFeatureMap
  pca: true
  supports_color: true

[2026-01-18 02:06:50,248] [INFO] - Using cuda.
[2026-01-18 02:06:50,695] [INFO] - Dataset: mnist | Train Size: 10346 | Validation Size: 2956 | Test Size: 1478
[2026-01-18 02:06:50,698] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 02:06:56,072] [INFO] - Initiate model
[2026-01-18 02:06:56,132] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 02:06:56,133] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 02:07:30,828] [INFO] - [  100/10346] | Cost: 0.7156944 | Accuracy: 0.3900000
[2026-01-18 02:08:05,777] [INFO] - [  200/10346] | Cost: 0.6831065 | Accuracy: 0.5300000
[2026-01-18 02:08:40,684] [INFO] - [  300/10346] | Cost: 0.6730837 | Accuracy: 0.6200000
[2026-01-18 02:09:15,758] [INFO] - [  400/10346] | Cost: 0.6553757 | Accuracy: 0.6400000
[2026-01-18 02:09:50,679] [INFO] - [  500/10346] | Cost: 0.6674257 | Accuracy: 0.5600000
[2026-01-18 02:10:25,632] [INFO] - [  600/10346] | Cost: 0.5825222 | Accuracy: 0.7400000
[2026-01-18 02:11:00,343] [INFO] - [  700/10346] | Cost: 0.6071627 | Accuracy: 0.6500000
[2026-01-18 02:11:35,412] [INFO] - [  800/10346] | Cost: 0.5960984 | Accuracy: 0.6300000
[2026-01-18 02:12:10,289] [INFO] - [  900/10346] | Cost: 0.5675635 | Accuracy: 0.7200000
[2026-01-18 02:12:45,243] [INFO] - [ 1000/10346] | Cost: 0.5676095 | Accuracy: 0.7400000
[2026-01-18 02:13:20,059] [INFO] - [ 1100/10346] | Cost: 0.5563023 | Accuracy: 0.7500000
[2026-01-18 02:13:55,095] [INFO] - [ 1200/10346] | Cost: 0.5466936 | Accuracy: 0.8400000
[2026-01-18 02:14:30,185] [INFO] - [ 1300/10346] | Cost: 0.5373744 | Accuracy: 0.8100000
[2026-01-18 02:15:05,221] [INFO] - [ 1400/10346] | Cost: 0.5323364 | Accuracy: 0.8400000
[2026-01-18 02:15:40,273] [INFO] - [ 1500/10346] | Cost: 0.5001158 | Accuracy: 0.8600000
[2026-01-18 02:16:15,360] [INFO] - [ 1600/10346] | Cost: 0.5507262 | Accuracy: 0.8100000
[2026-01-18 02:16:50,529] [INFO] - [ 1700/10346] | Cost: 0.5565558 | Accuracy: 0.7400000
[2026-01-18 02:17:25,408] [INFO] - [ 1800/10346] | Cost: 0.5144142 | Accuracy: 0.9000000
[2026-01-18 02:18:00,457] [INFO] - [ 1900/10346] | Cost: 0.5017374 | Accuracy: 0.9500000
[2026-01-18 02:18:35,529] [INFO] - [ 2000/10346] | Cost: 0.5338545 | Accuracy: 0.9000000
[2026-01-18 02:19:10,696] [INFO] - [ 2100/10346] | Cost: 0.5107985 | Accuracy: 0.9700000
[2026-01-18 02:19:45,688] [INFO] - [ 2200/10346] | Cost: 0.5187452 | Accuracy: 0.9500000
[2026-01-18 02:20:20,769] [INFO] - [ 2300/10346] | Cost: 0.5274498 | Accuracy: 0.9600000
[2026-01-18 02:20:55,872] [INFO] - [ 2400/10346] | Cost: 0.5059455 | Accuracy: 0.9700000
[2026-01-18 02:21:31,014] [INFO] - [ 2500/10346] | Cost: 0.5185932 | Accuracy: 0.9900000
[2026-01-18 02:22:06,171] [INFO] - [ 2600/10346] | Cost: 0.5070069 | Accuracy: 0.9800000
[2026-01-18 02:22:41,247] [INFO] - [ 2700/10346] | Cost: 0.5270946 | Accuracy: 0.9700000
[2026-01-18 02:23:16,189] [INFO] - [ 2800/10346] | Cost: 0.5096912 | Accuracy: 0.9800000
[2026-01-18 02:23:51,283] [INFO] - [ 2900/10346] | Cost: 0.4910292 | Accuracy: 0.9700000
[2026-01-18 02:24:26,397] [INFO] - [ 3000/10346] | Cost: 0.4910063 | Accuracy: 0.9700000
[2026-01-18 02:25:01,454] [INFO] - [ 3100/10346] | Cost: 0.4885289 | Accuracy: 0.9600000
[2026-01-18 02:25:36,539] [INFO] - [ 3200/10346] | Cost: 0.4977747 | Accuracy: 0.9500000
[2026-01-18 02:26:11,635] [INFO] - [ 3300/10346] | Cost: 0.4741170 | Accuracy: 1.0000000
[2026-01-18 02:26:46,620] [INFO] - [ 3400/10346] | Cost: 0.4892729 | Accuracy: 0.9800000
[2026-01-18 02:27:21,671] [INFO] - [ 3500/10346] | Cost: 0.4626806 | Accuracy: 0.9700000
[2026-01-18 02:27:56,735] [INFO] - [ 3600/10346] | Cost: 0.4770695 | Accuracy: 1.0000000
[2026-01-18 02:28:31,833] [INFO] - [ 3700/10346] | Cost: 0.4828172 | Accuracy: 0.9900000
[2026-01-18 02:29:07,006] [INFO] - [ 3800/10346] | Cost: 0.4716405 | Accuracy: 0.9500000
[2026-01-18 02:29:41,937] [INFO] - [ 3900/10346] | Cost: 0.4732372 | Accuracy: 0.9500000
[2026-01-18 02:30:17,041] [INFO] - [ 4000/10346] | Cost: 0.4808050 | Accuracy: 0.9700000
[2026-01-18 02:30:52,070] [INFO] - [ 4100/10346] | Cost: 0.4566066 | Accuracy: 0.9900000
[2026-01-18 02:31:27,110] [INFO] - [ 4200/10346] | Cost: 0.4497199 | Accuracy: 0.9900000
[2026-01-18 02:32:02,249] [INFO] - [ 4300/10346] | Cost: 0.4508196 | Accuracy: 0.9700000
[2026-01-18 02:32:37,214] [INFO] - [ 4400/10346] | Cost: 0.4472526 | Accuracy: 0.9700000
[2026-01-18 02:33:12,296] [INFO] - [ 4500/10346] | Cost: 0.4448029 | Accuracy: 0.9700000
[2026-01-18 02:33:47,367] [INFO] - [ 4600/10346] | Cost: 0.4392927 | Accuracy: 0.9600000
[2026-01-18 02:34:22,483] [INFO] - [ 4700/10346] | Cost: 0.4348370 | Accuracy: 0.9700000
[2026-01-18 02:34:57,575] [INFO] - [ 4800/10346] | Cost: 0.4190291 | Accuracy: 0.9600000
[2026-01-18 02:35:32,502] [INFO] - [ 4900/10346] | Cost: 0.4295169 | Accuracy: 0.9100000
[2026-01-18 02:36:07,572] [INFO] - [ 5000/10346] | Cost: 0.3962379 | Accuracy: 0.9900000
[2026-01-18 02:36:42,629] [INFO] - [ 5100/10346] | Cost: 0.4076164 | Accuracy: 0.9400000
[2026-01-18 02:37:17,751] [INFO] - [ 5200/10346] | Cost: 0.4029429 | Accuracy: 0.9600000
[2026-01-18 02:37:52,833] [INFO] - [ 5300/10346] | Cost: 0.4149304 | Accuracy: 0.9800000
[2026-01-18 02:38:27,988] [INFO] - [ 5400/10346] | Cost: 0.4114614 | Accuracy: 0.9900000
[2026-01-18 02:39:02,907] [INFO] - [ 5500/10346] | Cost: 0.4043532 | Accuracy: 0.9900000
[2026-01-18 02:39:38,107] [INFO] - [ 5600/10346] | Cost: 0.4089532 | Accuracy: 0.9600000
[2026-01-18 02:40:13,175] [INFO] - [ 5700/10346] | Cost: 0.4115987 | Accuracy: 0.9600000
[2026-01-18 02:40:48,287] [INFO] - [ 5800/10346] | Cost: 0.3920953 | Accuracy: 0.9600000
[2026-01-18 02:41:23,415] [INFO] - [ 5900/10346] | Cost: 0.4079955 | Accuracy: 0.9400000
[2026-01-18 02:41:58,587] [INFO] - [ 6000/10346] | Cost: 0.4057573 | Accuracy: 0.9300000
[2026-01-18 02:42:33,560] [INFO] - [ 6100/10346] | Cost: 0.3872269 | Accuracy: 0.9400000
[2026-01-18 02:43:08,663] [INFO] - [ 6200/10346] | Cost: 0.3656816 | Accuracy: 0.9800000
[2026-01-18 02:43:43,771] [INFO] - [ 6300/10346] | Cost: 0.3981185 | Accuracy: 0.9700000
[2026-01-18 02:44:18,952] [INFO] - [ 6400/10346] | Cost: 0.3714853 | Accuracy: 1.0000000
[2026-01-18 02:44:54,110] [INFO] - [ 6500/10346] | Cost: 0.4028714 | Accuracy: 0.9500000
[2026-01-18 02:45:29,067] [INFO] - [ 6600/10346] | Cost: 0.3859520 | Accuracy: 0.9800000
[2026-01-18 02:46:04,168] [INFO] - [ 6700/10346] | Cost: 0.4012620 | Accuracy: 0.9600000
[2026-01-18 02:46:39,283] [INFO] - [ 6800/10346] | Cost: 0.3805273 | Accuracy: 0.9500000
[2026-01-18 02:47:14,370] [INFO] - [ 6900/10346] | Cost: 0.3937504 | Accuracy: 0.9500000
[2026-01-18 02:47:49,505] [INFO] - [ 7000/10346] | Cost: 0.3918467 | Accuracy: 0.9500000
[2026-01-18 02:48:24,572] [INFO] - [ 7100/10346] | Cost: 0.3719640 | Accuracy: 0.9800000
[2026-01-18 02:48:59,460] [INFO] - [ 7200/10346] | Cost: 0.3713002 | Accuracy: 0.9500000
[2026-01-18 02:49:34,546] [INFO] - [ 7300/10346] | Cost: 0.3633927 | Accuracy: 0.9900000
[2026-01-18 02:50:09,653] [INFO] - [ 7400/10346] | Cost: 0.3653155 | Accuracy: 1.0000000
[2026-01-18 02:50:44,710] [INFO] - [ 7500/10346] | Cost: 0.3709799 | Accuracy: 0.9800000
[2026-01-18 02:51:19,756] [INFO] - [ 7600/10346] | Cost: 0.3435918 | Accuracy: 1.0000000
[2026-01-18 02:51:54,684] [INFO] - [ 7700/10346] | Cost: 0.3868804 | Accuracy: 0.9800000
[2026-01-18 02:52:29,774] [INFO] - [ 7800/10346] | Cost: 0.3516113 | Accuracy: 1.0000000
[2026-01-18 02:53:04,836] [INFO] - [ 7900/10346] | Cost: 0.3706458 | Accuracy: 0.9800000
[2026-01-18 02:53:39,867] [INFO] - [ 8000/10346] | Cost: 0.3671951 | Accuracy: 1.0000000
[2026-01-18 02:54:14,928] [INFO] - [ 8100/10346] | Cost: 0.3726344 | Accuracy: 0.9900000
[2026-01-18 02:54:49,835] [INFO] - [ 8200/10346] | Cost: 0.3434323 | Accuracy: 0.9800000
[2026-01-18 02:55:24,918] [INFO] - [ 8300/10346] | Cost: 0.3880314 | Accuracy: 0.9800000
[2026-01-18 02:55:59,952] [INFO] - [ 8400/10346] | Cost: 0.3601867 | Accuracy: 1.0000000
[2026-01-18 02:56:34,993] [INFO] - [ 8500/10346] | Cost: 0.3904903 | Accuracy: 0.9700000
[2026-01-18 02:57:10,040] [INFO] - [ 8600/10346] | Cost: 0.3445619 | Accuracy: 1.0000000
[2026-01-18 02:57:45,116] [INFO] - [ 8700/10346] | Cost: 0.3484624 | Accuracy: 0.9800000
[2026-01-18 02:58:19,988] [INFO] - [ 8800/10346] | Cost: 0.3311456 | Accuracy: 1.0000000
[2026-01-18 02:58:55,025] [INFO] - [ 8900/10346] | Cost: 0.3565142 | Accuracy: 0.9900000
[2026-01-18 02:59:30,077] [INFO] - [ 9000/10346] | Cost: 0.3779103 | Accuracy: 0.9600000
[2026-01-18 03:00:05,155] [INFO] - [ 9100/10346] | Cost: 0.3262502 | Accuracy: 1.0000000
[2026-01-18 03:00:40,033] [INFO] - [ 9200/10346] | Cost: 0.3651814 | Accuracy: 0.9800000
[2026-01-18 03:01:15,058] [INFO] - [ 9300/10346] | Cost: 0.3352845 | Accuracy: 1.0000000
[2026-01-18 03:01:50,109] [INFO] - [ 9400/10346] | Cost: 0.3460522 | Accuracy: 0.9900000
[2026-01-18 03:02:25,163] [INFO] - [ 9500/10346] | Cost: 0.3546409 | Accuracy: 0.9900000
[2026-01-18 03:03:00,217] [INFO] - [ 9600/10346] | Cost: 0.3516723 | Accuracy: 1.0000000
[2026-01-18 03:03:35,217] [INFO] - [ 9700/10346] | Cost: 0.3854615 | Accuracy: 0.9700000
[2026-01-18 03:04:09,469] [INFO] - [ 9800/10346] | Cost: 0.3955698 | Accuracy: 0.9800000
[2026-01-18 03:04:42,480] [INFO] - [ 9900/10346] | Cost: 0.3526566 | Accuracy: 1.0000000
[2026-01-18 03:05:17,160] [INFO] - [10000/10346] | Cost: 0.3695887 | Accuracy: 0.9800000
[2026-01-18 03:05:52,167] [INFO] - [10100/10346] | Cost: 0.3517844 | Accuracy: 0.9900000
[2026-01-18 03:06:27,186] [INFO] - [10200/10346] | Cost: 0.3217362 | Accuracy: 1.0000000
[2026-01-18 03:07:02,604] [INFO] - [10300/10346] | Cost: 0.3643571 | Accuracy: 0.9800000
[2026-01-18 03:07:12,765] [INFO] - [10400/10346] | Cost: 0.3812223 | Accuracy: 0.9782609
[2026-01-18 03:07:44,935] [INFO] - Model dict saved to /workspace/persistent/embedding_colosseum/multirun/2026-01-18/02-06-25/3/saved_models/model_epoch-0.pt
[2026-01-18 03:07:44,936] [INFO] - Validation for epoch   0 | Cost: 0.4638962 | Accuracy: 0.9468810
