[2026-01-18 03:33:00,138] [INFO] - seed: 1
image_preprocessing: ContrastScaling
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_rgb
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-18 03:33:00,143] [INFO] - Using cuda.
[2026-01-18 03:33:00,183] [INFO] - Dataset: eurosat_rgb | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-18 03:33:00,185] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 03:33:04,158] [INFO] - Initiate model
[2026-01-18 03:33:04,519] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 03:33:04,521] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 03:33:39,532] [INFO] - [  100/ 4200] | Cost: 0.6877071 | Accuracy: 0.6300000
[2026-01-18 03:34:14,592] [INFO] - [  200/ 4200] | Cost: 0.6754106 | Accuracy: 0.5300000
[2026-01-18 03:34:49,584] [INFO] - [  300/ 4200] | Cost: 0.6530244 | Accuracy: 0.6200000
[2026-01-18 03:35:24,700] [INFO] - [  400/ 4200] | Cost: 0.6245441 | Accuracy: 0.8400000
[2026-01-18 03:35:59,578] [INFO] - [  500/ 4200] | Cost: 0.6038169 | Accuracy: 0.9400000
[2026-01-18 03:36:34,638] [INFO] - [  600/ 4200] | Cost: 0.6051699 | Accuracy: 0.9800000
[2026-01-18 03:37:09,717] [INFO] - [  700/ 4200] | Cost: 0.5770860 | Accuracy: 0.9800000
[2026-01-18 03:37:44,871] [INFO] - [  800/ 4200] | Cost: 0.5541028 | Accuracy: 0.9700000
[2026-01-18 03:38:19,723] [INFO] - [  900/ 4200] | Cost: 0.5455509 | Accuracy: 0.9200000
[2026-01-18 03:38:54,799] [INFO] - [ 1000/ 4200] | Cost: 0.4913078 | Accuracy: 0.9700000
[2026-01-18 03:39:29,903] [INFO] - [ 1100/ 4200] | Cost: 0.4813626 | Accuracy: 0.9900000
[2026-01-18 03:40:05,054] [INFO] - [ 1200/ 4200] | Cost: 0.4514216 | Accuracy: 0.9600000
[2026-01-18 03:40:39,966] [INFO] - [ 1300/ 4200] | Cost: 0.4423982 | Accuracy: 0.9300000
[2026-01-18 03:41:15,084] [INFO] - [ 1400/ 4200] | Cost: 0.4394012 | Accuracy: 0.8900000
[2026-01-18 03:41:50,086] [INFO] - [ 1500/ 4200] | Cost: 0.3981146 | Accuracy: 0.9300000
[2026-01-18 03:42:25,148] [INFO] - [ 1600/ 4200] | Cost: 0.3867193 | Accuracy: 0.9200000
[2026-01-18 03:43:00,026] [INFO] - [ 1700/ 4200] | Cost: 0.3554163 | Accuracy: 0.9600000
[2026-01-18 03:43:35,089] [INFO] - [ 1800/ 4200] | Cost: 0.3916565 | Accuracy: 0.9200000
[2026-01-18 03:44:10,131] [INFO] - [ 1900/ 4200] | Cost: 0.3585665 | Accuracy: 0.9500000
[2026-01-18 03:44:45,132] [INFO] - [ 2000/ 4200] | Cost: 0.3708813 | Accuracy: 0.9700000
[2026-01-18 03:45:20,110] [INFO] - [ 2100/ 4200] | Cost: 0.3647349 | Accuracy: 0.9500000
[2026-01-18 03:45:54,926] [INFO] - [ 2200/ 4200] | Cost: 0.3599962 | Accuracy: 0.9800000
[2026-01-18 03:46:29,890] [INFO] - [ 2300/ 4200] | Cost: 0.3396174 | Accuracy: 0.9600000
[2026-01-18 03:47:04,861] [INFO] - [ 2400/ 4200] | Cost: 0.3684067 | Accuracy: 0.9400000
[2026-01-18 03:47:39,821] [INFO] - [ 2500/ 4200] | Cost: 0.3708246 | Accuracy: 0.9500000
[2026-01-18 03:48:14,622] [INFO] - [ 2600/ 4200] | Cost: 0.3533820 | Accuracy: 0.9400000
[2026-01-18 03:48:49,558] [INFO] - [ 2700/ 4200] | Cost: 0.3637543 | Accuracy: 0.9300000
[2026-01-18 03:49:24,551] [INFO] - [ 2800/ 4200] | Cost: 0.3278840 | Accuracy: 0.9800000
[2026-01-18 03:49:59,539] [INFO] - [ 2900/ 4200] | Cost: 0.3488512 | Accuracy: 0.9200000
[2026-01-18 03:50:34,331] [INFO] - [ 3000/ 4200] | Cost: 0.3886411 | Accuracy: 0.8900000
[2026-01-18 03:51:09,322] [INFO] - [ 3100/ 4200] | Cost: 0.3657619 | Accuracy: 0.9000000
