[2026-01-18 04:04:53,590] [INFO] - seed: 1
image_preprocessing: None
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_ms
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-18 04:04:53,592] [INFO] - Using cuda.
[2026-01-18 04:04:53,631] [INFO] - Dataset: eurosat_ms | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-18 04:04:53,633] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 04:05:41,513] [INFO] - Initiate model
[2026-01-18 04:05:41,517] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 04:05:41,518] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 04:06:16,428] [INFO] - [  100/ 4200] | Cost: 0.6817932 | Accuracy: 0.5800000
[2026-01-18 04:06:51,453] [INFO] - [  200/ 4200] | Cost: 0.6696213 | Accuracy: 0.5200000
[2026-01-18 04:07:26,303] [INFO] - [  300/ 4200] | Cost: 0.6617909 | Accuracy: 0.6100000
[2026-01-18 04:08:01,144] [INFO] - [  400/ 4200] | Cost: 0.6355911 | Accuracy: 0.8100000
[2026-01-18 04:08:35,857] [INFO] - [  500/ 4200] | Cost: 0.6259310 | Accuracy: 0.8800000
[2026-01-18 04:09:10,873] [INFO] - [  600/ 4200] | Cost: 0.6260697 | Accuracy: 0.8000000
[2026-01-18 04:09:45,783] [INFO] - [  700/ 4200] | Cost: 0.5965940 | Accuracy: 0.8600000
[2026-01-18 04:10:20,690] [INFO] - [  800/ 4200] | Cost: 0.5877286 | Accuracy: 0.8300000
[2026-01-18 04:10:55,432] [INFO] - [  900/ 4200] | Cost: 0.5712120 | Accuracy: 0.8400000
[2026-01-18 04:11:30,437] [INFO] - [ 1000/ 4200] | Cost: 0.5408481 | Accuracy: 0.9100000
[2026-01-18 04:12:05,324] [INFO] - [ 1100/ 4200] | Cost: 0.5221506 | Accuracy: 0.9100000
[2026-01-18 04:12:40,217] [INFO] - [ 1200/ 4200] | Cost: 0.5090908 | Accuracy: 0.9200000
[2026-01-18 04:13:15,118] [INFO] - [ 1300/ 4200] | Cost: 0.4909956 | Accuracy: 0.8600000
[2026-01-18 04:13:49,909] [INFO] - [ 1400/ 4200] | Cost: 0.4675151 | Accuracy: 0.8900000
[2026-01-18 04:14:24,835] [INFO] - [ 1500/ 4200] | Cost: 0.4783912 | Accuracy: 0.8700000
[2026-01-18 04:14:59,749] [INFO] - [ 1600/ 4200] | Cost: 0.4608295 | Accuracy: 0.8800000
[2026-01-18 04:15:34,638] [INFO] - [ 1700/ 4200] | Cost: 0.4651180 | Accuracy: 0.8400000
[2026-01-18 04:16:09,434] [INFO] - [ 1800/ 4200] | Cost: 0.4313281 | Accuracy: 0.9200000
[2026-01-18 04:16:44,397] [INFO] - [ 1900/ 4200] | Cost: 0.4713891 | Accuracy: 0.8300000
[2026-01-18 04:17:19,374] [INFO] - [ 2000/ 4200] | Cost: 0.4373522 | Accuracy: 0.9400000
[2026-01-18 04:17:54,086] [INFO] - [ 2100/ 4200] | Cost: 0.4250528 | Accuracy: 0.9000000
[2026-01-18 04:18:29,100] [INFO] - [ 2200/ 4200] | Cost: 0.4218965 | Accuracy: 0.8900000
[2026-01-18 04:19:04,054] [INFO] - [ 2300/ 4200] | Cost: 0.4104690 | Accuracy: 0.9200000
[2026-01-18 04:19:38,990] [INFO] - [ 2400/ 4200] | Cost: 0.4444893 | Accuracy: 0.8500000
[2026-01-18 04:20:13,721] [INFO] - [ 2500/ 4200] | Cost: 0.4391544 | Accuracy: 0.8600000
[2026-01-18 04:20:48,658] [INFO] - [ 2600/ 4200] | Cost: 0.4422688 | Accuracy: 0.8600000
[2026-01-18 04:21:20,211] [INFO] - [ 2700/ 4200] | Cost: 0.4467112 | Accuracy: 0.8800000
[2026-01-18 04:21:54,408] [INFO] - [ 2800/ 4200] | Cost: 0.4129106 | Accuracy: 0.8800000
[2026-01-18 04:22:29,343] [INFO] - [ 2900/ 4200] | Cost: 0.4048070 | Accuracy: 0.9000000
[2026-01-18 04:23:04,126] [INFO] - [ 3000/ 4200] | Cost: 0.4354538 | Accuracy: 0.8800000
[2026-01-18 04:23:38,950] [INFO] - [ 3100/ 4200] | Cost: 0.4503091 | Accuracy: 0.8300000
[2026-01-18 04:24:12,354] [INFO] - [ 3200/ 4200] | Cost: 0.4319502 | Accuracy: 0.8500000
[2026-01-18 04:24:46,607] [INFO] - [ 3300/ 4200] | Cost: 0.4131366 | Accuracy: 0.8900000
[2026-01-18 04:25:21,346] [INFO] - [ 3400/ 4200] | Cost: 0.4039920 | Accuracy: 0.9300000
[2026-01-18 04:25:56,274] [INFO] - [ 3500/ 4200] | Cost: 0.4393502 | Accuracy: 0.8300000
[2026-01-18 04:26:31,241] [INFO] - [ 3600/ 4200] | Cost: 0.4665056 | Accuracy: 0.8600000
[2026-01-18 04:27:06,151] [INFO] - [ 3700/ 4200] | Cost: 0.3887914 | Accuracy: 0.9300000
[2026-01-18 04:27:40,901] [INFO] - [ 3800/ 4200] | Cost: 0.4343752 | Accuracy: 0.8800000
