[2026-01-18 04:05:04,500] [INFO] - seed: 1
image_preprocessing: ContrastScaling
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: eurosat_ms
  image_width_sweep: '64'
  orig_width: 64
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-18 04:05:04,502] [INFO] - Using cuda.
[2026-01-18 04:05:04,539] [INFO] - Dataset: eurosat_ms | Train Size: 4200 | Validation Size: 1200 | Test Size: 600
[2026-01-18 04:05:04,541] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 04:05:41,653] [INFO] - Initiate model
[2026-01-18 04:05:41,656] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 04:05:41,657] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 04:06:16,653] [INFO] - [  100/ 4200] | Cost: 0.6761640 | Accuracy: 0.6500000
[2026-01-18 04:06:51,846] [INFO] - [  200/ 4200] | Cost: 0.6732963 | Accuracy: 0.5200000
[2026-01-18 04:07:26,974] [INFO] - [  300/ 4200] | Cost: 0.6584505 | Accuracy: 0.7200000
[2026-01-18 04:08:02,008] [INFO] - [  400/ 4200] | Cost: 0.6360464 | Accuracy: 0.8900000
[2026-01-18 04:08:36,978] [INFO] - [  500/ 4200] | Cost: 0.6191963 | Accuracy: 0.9400000
[2026-01-18 04:09:11,852] [INFO] - [  600/ 4200] | Cost: 0.6325694 | Accuracy: 0.8600000
[2026-01-18 04:09:46,866] [INFO] - [  700/ 4200] | Cost: 0.6103622 | Accuracy: 0.9500000
[2026-01-18 04:10:21,915] [INFO] - [  800/ 4200] | Cost: 0.6043314 | Accuracy: 0.9100000
[2026-01-18 04:10:56,969] [INFO] - [  900/ 4200] | Cost: 0.5905275 | Accuracy: 0.9100000
[2026-01-18 04:11:31,814] [INFO] - [ 1000/ 4200] | Cost: 0.5717108 | Accuracy: 0.9000000
[2026-01-18 04:12:06,868] [INFO] - [ 1100/ 4200] | Cost: 0.5623569 | Accuracy: 0.9100000
[2026-01-18 04:12:41,923] [INFO] - [ 1200/ 4200] | Cost: 0.5462472 | Accuracy: 0.9400000
[2026-01-18 04:13:16,978] [INFO] - [ 1300/ 4200] | Cost: 0.5220862 | Accuracy: 0.8900000
[2026-01-18 04:13:51,823] [INFO] - [ 1400/ 4200] | Cost: 0.5073240 | Accuracy: 0.9000000
[2026-01-18 04:14:26,854] [INFO] - [ 1500/ 4200] | Cost: 0.4972717 | Accuracy: 0.9200000
[2026-01-18 04:15:01,914] [INFO] - [ 1600/ 4200] | Cost: 0.4697184 | Accuracy: 0.9400000
[2026-01-18 04:15:36,962] [INFO] - [ 1700/ 4200] | Cost: 0.4740096 | Accuracy: 0.8900000
[2026-01-18 04:16:11,781] [INFO] - [ 1800/ 4200] | Cost: 0.4280594 | Accuracy: 0.9500000
[2026-01-18 04:16:46,814] [INFO] - [ 1900/ 4200] | Cost: 0.4711914 | Accuracy: 0.8300000
[2026-01-18 04:17:21,818] [INFO] - [ 2000/ 4200] | Cost: 0.4377951 | Accuracy: 0.9400000
[2026-01-18 04:17:56,815] [INFO] - [ 2100/ 4200] | Cost: 0.4243397 | Accuracy: 0.9200000
[2026-01-18 04:18:31,654] [INFO] - [ 2200/ 4200] | Cost: 0.4037773 | Accuracy: 0.9300000
[2026-01-18 04:19:06,634] [INFO] - [ 2300/ 4200] | Cost: 0.4016488 | Accuracy: 0.9300000
[2026-01-18 04:19:41,656] [INFO] - [ 2400/ 4200] | Cost: 0.4247185 | Accuracy: 0.8900000
[2026-01-18 04:20:16,711] [INFO] - [ 2500/ 4200] | Cost: 0.4255174 | Accuracy: 0.8900000
[2026-01-18 04:20:51,717] [INFO] - [ 2600/ 4200] | Cost: 0.4243470 | Accuracy: 0.8700000
[2026-01-18 04:21:22,435] [INFO] - [ 2700/ 4200] | Cost: 0.4339533 | Accuracy: 0.8700000
[2026-01-18 04:21:57,288] [INFO] - [ 2800/ 4200] | Cost: 0.4090062 | Accuracy: 0.8700000
[2026-01-18 04:22:32,369] [INFO] - [ 2900/ 4200] | Cost: 0.3872688 | Accuracy: 0.9100000
[2026-01-18 04:23:07,223] [INFO] - [ 3000/ 4200] | Cost: 0.4431589 | Accuracy: 0.8800000
[2026-01-18 04:23:41,996] [INFO] - [ 3100/ 4200] | Cost: 0.4381549 | Accuracy: 0.8500000
[2026-01-18 04:24:15,485] [INFO] - [ 3200/ 4200] | Cost: 0.4300252 | Accuracy: 0.8500000
[2026-01-18 04:24:50,090] [INFO] - [ 3300/ 4200] | Cost: 0.4072984 | Accuracy: 0.9300000
[2026-01-18 04:25:24,894] [INFO] - [ 3400/ 4200] | Cost: 0.4069388 | Accuracy: 0.9400000
[2026-01-18 04:25:59,886] [INFO] - [ 3500/ 4200] | Cost: 0.4392509 | Accuracy: 0.8800000
[2026-01-18 04:26:34,917] [INFO] - [ 3600/ 4200] | Cost: 0.4514044 | Accuracy: 0.9000000
[2026-01-18 04:27:09,891] [INFO] - [ 3700/ 4200] | Cost: 0.3958592 | Accuracy: 0.9200000
[2026-01-18 04:27:44,646] [INFO] - [ 3800/ 4200] | Cost: 0.4128193 | Accuracy: 0.8600000
