[2026-01-18 04:30:28,364] [INFO] - seed: 1
image_preprocessing: HomomorphicFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: AngleEncoding
  pca: true
  supports_color: true

[2026-01-18 04:30:28,369] [INFO] - Using cuda.
[2026-01-18 04:30:29,990] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-18 04:30:29,996] [INFO] - Applying PCA Loader to the dataset
[2026-01-18 04:30:36,795] [INFO] - Initiate model
[2026-01-18 04:30:37,270] [INFO] - Weights Shape: torch.Size([3, 6, 3])
[2026-01-18 04:30:37,271] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 04:31:12,244] [INFO] - [  100/ 8400] | Cost: 0.7013193 | Accuracy: 0.4400000
[2026-01-18 04:31:47,193] [INFO] - [  200/ 8400] | Cost: 0.7170810 | Accuracy: 0.3300000
[2026-01-18 04:32:22,195] [INFO] - [  300/ 8400] | Cost: 0.6885953 | Accuracy: 0.5400000
[2026-01-18 04:32:57,279] [INFO] - [  400/ 8400] | Cost: 0.6947942 | Accuracy: 0.4700000
[2026-01-18 04:33:32,107] [INFO] - [  500/ 8400] | Cost: 0.6757347 | Accuracy: 0.5500000
[2026-01-18 04:34:07,064] [INFO] - [  600/ 8400] | Cost: 0.6841782 | Accuracy: 0.5300000
[2026-01-18 04:34:42,002] [INFO] - [  700/ 8400] | Cost: 0.6587803 | Accuracy: 0.6200000
[2026-01-18 04:35:17,055] [INFO] - [  800/ 8400] | Cost: 0.6613222 | Accuracy: 0.5800000
[2026-01-18 04:35:51,837] [INFO] - [  900/ 8400] | Cost: 0.6528981 | Accuracy: 0.6900000
[2026-01-18 04:36:26,806] [INFO] - [ 1000/ 8400] | Cost: 0.6635816 | Accuracy: 0.6800000
[2026-01-18 04:37:01,786] [INFO] - [ 1100/ 8400] | Cost: 0.6533659 | Accuracy: 0.7100000
[2026-01-18 04:37:36,806] [INFO] - [ 1200/ 8400] | Cost: 0.6488914 | Accuracy: 0.7300000
[2026-01-18 04:38:11,846] [INFO] - [ 1300/ 8400] | Cost: 0.6635696 | Accuracy: 0.6900000
[2026-01-18 04:38:46,682] [INFO] - [ 1400/ 8400] | Cost: 0.6541364 | Accuracy: 0.6300000
[2026-01-18 04:39:21,671] [INFO] - [ 1500/ 8400] | Cost: 0.6651049 | Accuracy: 0.5900000
[2026-01-18 04:39:56,698] [INFO] - [ 1600/ 8400] | Cost: 0.6844848 | Accuracy: 0.5900000
[2026-01-18 04:40:31,803] [INFO] - [ 1700/ 8400] | Cost: 0.6683832 | Accuracy: 0.6300000
[2026-01-18 04:41:06,617] [INFO] - [ 1800/ 8400] | Cost: 0.6560829 | Accuracy: 0.6400000
[2026-01-18 04:41:41,537] [INFO] - [ 1900/ 8400] | Cost: 0.6435710 | Accuracy: 0.7500000
[2026-01-18 04:42:16,520] [INFO] - [ 2000/ 8400] | Cost: 0.6213341 | Accuracy: 0.7500000
[2026-01-18 04:42:51,555] [INFO] - [ 2100/ 8400] | Cost: 0.6255687 | Accuracy: 0.7500000
[2026-01-18 04:43:26,546] [INFO] - [ 2200/ 8400] | Cost: 0.6633601 | Accuracy: 0.6500000
[2026-01-18 04:44:01,299] [INFO] - [ 2300/ 8400] | Cost: 0.6375253 | Accuracy: 0.6400000
[2026-01-18 04:44:36,297] [INFO] - [ 2400/ 8400] | Cost: 0.6344691 | Accuracy: 0.6500000
[2026-01-18 04:45:11,224] [INFO] - [ 2500/ 8400] | Cost: 0.6386061 | Accuracy: 0.6200000
[2026-01-18 04:45:44,873] [INFO] - [ 2600/ 8400] | Cost: 0.6309649 | Accuracy: 0.6700000
[2026-01-18 04:46:16,784] [INFO] - [ 2700/ 8400] | Cost: 0.6701404 | Accuracy: 0.5800000
[2026-01-18 04:46:51,626] [INFO] - [ 2800/ 8400] | Cost: 0.6161871 | Accuracy: 0.7200000
[2026-01-18 04:47:26,614] [INFO] - [ 2900/ 8400] | Cost: 0.6599633 | Accuracy: 0.5900000
[2026-01-18 04:48:01,666] [INFO] - [ 3000/ 8400] | Cost: 0.6032229 | Accuracy: 0.7800000
[2026-01-18 04:48:36,657] [INFO] - [ 3100/ 8400] | Cost: 0.6537102 | Accuracy: 0.6400000
[2026-01-18 04:49:11,458] [INFO] - [ 3200/ 8400] | Cost: 0.6387663 | Accuracy: 0.7100000
[2026-01-18 04:49:46,483] [INFO] - [ 3300/ 8400] | Cost: 0.6171030 | Accuracy: 0.6900000
[2026-01-18 04:50:21,540] [INFO] - [ 3400/ 8400] | Cost: 0.6359831 | Accuracy: 0.6800000
[2026-01-18 04:50:56,559] [INFO] - [ 3500/ 8400] | Cost: 0.6270748 | Accuracy: 0.6800000
[2026-01-18 04:51:31,365] [INFO] - [ 3600/ 8400] | Cost: 0.6309033 | Accuracy: 0.7100000
[2026-01-18 04:52:06,329] [INFO] - [ 3700/ 8400] | Cost: 0.6470757 | Accuracy: 0.6400000
