[2026-01-18 18:28:03,819] [INFO] - seed: 0
image_preprocessing: MedianBlur
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-18 18:28:03,846] [INFO] - Using cuda.
[2026-01-18 18:28:05,331] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-18 18:28:05,333] [INFO] - Initiate model
[2026-01-18 18:28:06,032] [INFO] - Weights Shape: torch.Size([3, 19, 3])
[2026-01-18 18:28:06,033] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 18:36:57,521] [INFO] - [  100/ 8400] | Cost: 0.6930769 | Accuracy: 0.5700000
[2026-01-18 18:45:53,994] [INFO] - [  200/ 8400] | Cost: 0.6855147 | Accuracy: 0.5900000
[2026-01-18 18:54:50,043] [INFO] - [  300/ 8400] | Cost: 0.6861404 | Accuracy: 0.5600000
[2026-01-18 19:03:29,637] [INFO] - [  400/ 8400] | Cost: 0.6946409 | Accuracy: 0.5300000
[2026-01-18 19:12:18,783] [INFO] - [  500/ 8400] | Cost: 0.7028741 | Accuracy: 0.5100000
[2026-01-18 19:21:16,071] [INFO] - [  600/ 8400] | Cost: 0.7021551 | Accuracy: 0.5100000
[2026-01-18 19:29:57,835] [INFO] - [  700/ 8400] | Cost: 0.7139755 | Accuracy: 0.4600000
[2026-01-18 19:38:34,100] [INFO] - [  800/ 8400] | Cost: 0.7197014 | Accuracy: 0.4100000
[2026-01-18 19:47:17,971] [INFO] - [  900/ 8400] | Cost: 0.7008087 | Accuracy: 0.4700000
[2026-01-18 19:55:37,028] [INFO] - [ 1000/ 8400] | Cost: 0.6956636 | Accuracy: 0.4800000
[2026-01-18 20:04:14,761] [INFO] - [ 1100/ 8400] | Cost: 0.6932935 | Accuracy: 0.5000000
[2026-01-18 20:12:29,115] [INFO] - [ 1200/ 8400] | Cost: 0.6956040 | Accuracy: 0.4600000
[2026-01-18 20:21:04,800] [INFO] - [ 1300/ 8400] | Cost: 0.6892319 | Accuracy: 0.5500000
[2026-01-18 20:29:42,451] [INFO] - [ 1400/ 8400] | Cost: 0.7000267 | Accuracy: 0.4700000
[2026-01-18 20:38:04,998] [INFO] - [ 1500/ 8400] | Cost: 0.6970493 | Accuracy: 0.5000000
[2026-01-18 20:46:34,384] [INFO] - [ 1600/ 8400] | Cost: 0.6956002 | Accuracy: 0.5100000
[2026-01-18 20:54:37,972] [INFO] - [ 1700/ 8400] | Cost: 0.6861341 | Accuracy: 0.5600000
[2026-01-18 21:02:40,642] [INFO] - [ 1800/ 8400] | Cost: 0.7046625 | Accuracy: 0.4700000
[2026-01-18 21:10:46,616] [INFO] - [ 1900/ 8400] | Cost: 0.6841583 | Accuracy: 0.5700000
[2026-01-18 21:18:46,400] [INFO] - [ 2000/ 8400] | Cost: 0.7076795 | Accuracy: 0.4500000
[2026-01-18 21:26:46,136] [INFO] - [ 2100/ 8400] | Cost: 0.6990269 | Accuracy: 0.4900000
[2026-01-18 21:34:44,772] [INFO] - [ 2200/ 8400] | Cost: 0.7019997 | Accuracy: 0.4600000
[2026-01-18 21:42:38,574] [INFO] - [ 2300/ 8400] | Cost: 0.7044061 | Accuracy: 0.4100000
[2026-01-18 21:50:18,191] [INFO] - [ 2400/ 8400] | Cost: 0.6941555 | Accuracy: 0.5000000
[2026-01-18 21:57:51,747] [INFO] - [ 2500/ 8400] | Cost: 0.6937381 | Accuracy: 0.4700000
[2026-01-18 22:05:09,513] [INFO] - [ 2600/ 8400] | Cost: 0.6939187 | Accuracy: 0.4600000
[2026-01-18 22:12:13,086] [INFO] - [ 2700/ 8400] | Cost: 0.6913040 | Accuracy: 0.5200000
[2026-01-18 22:19:15,119] [INFO] - [ 2800/ 8400] | Cost: 0.6923427 | Accuracy: 0.5200000
[2026-01-18 22:26:25,185] [INFO] - [ 2900/ 8400] | Cost: 0.6998996 | Accuracy: 0.4600000
[2026-01-18 22:33:27,750] [INFO] - [ 3000/ 8400] | Cost: 0.6917123 | Accuracy: 0.5200000
[2026-01-18 22:40:28,877] [INFO] - [ 3100/ 8400] | Cost: 0.7054353 | Accuracy: 0.4400000
[2026-01-18 22:47:29,878] [INFO] - [ 3200/ 8400] | Cost: 0.6994144 | Accuracy: 0.4700000
[2026-01-18 22:54:46,747] [INFO] - [ 3300/ 8400] | Cost: 0.6996956 | Accuracy: 0.4700000
[2026-01-18 23:03:09,742] [INFO] - [ 3400/ 8400] | Cost: 0.6928403 | Accuracy: 0.5100000
[2026-01-18 23:44:16,152] [INFO] - [ 3500/ 8400] | Cost: 0.6926994 | Accuracy: 0.5100000
[2026-01-19 00:45:24,624] [INFO] - [ 3600/ 8400] | Cost: 0.6904116 | Accuracy: 0.5300000
[2026-01-19 01:45:33,417] [INFO] - [ 3700/ 8400] | Cost: 0.6922333 | Accuracy: 0.4900000
[2026-01-19 02:45:36,916] [INFO] - [ 3800/ 8400] | Cost: 0.6903486 | Accuracy: 0.5400000
[2026-01-19 03:46:29,543] [INFO] - [ 3900/ 8400] | Cost: 0.6922103 | Accuracy: 0.4800000
[2026-01-19 04:47:19,016] [INFO] - [ 4000/ 8400] | Cost: 0.6941272 | Accuracy: 0.3600000
[2026-01-19 05:47:40,650] [INFO] - [ 4100/ 8400] | Cost: 0.6924925 | Accuracy: 0.5900000
[2026-01-19 06:48:36,415] [INFO] - [ 4200/ 8400] | Cost: 0.6912462 | Accuracy: 0.6300000
[2026-01-19 07:46:56,655] [INFO] - [ 4300/ 8400] | Cost: 0.6920950 | Accuracy: 0.5400000
[2026-01-19 08:41:46,943] [INFO] - [ 4400/ 8400] | Cost: 0.6927223 | Accuracy: 0.5100000
