[2026-01-18 18:28:03,897] [INFO] - seed: 0
image_preprocessing: BilateralFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-18 18:28:03,901] [INFO] - Using cuda.
[2026-01-18 18:28:05,366] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-18 18:28:05,369] [INFO] - Initiate model
[2026-01-18 18:28:06,036] [INFO] - Weights Shape: torch.Size([3, 19, 3])
[2026-01-18 18:28:06,038] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 18:36:48,888] [INFO] - [  100/ 8400] | Cost: 0.6930442 | Accuracy: 0.5700000
[2026-01-18 18:45:37,493] [INFO] - [  200/ 8400] | Cost: 0.6853685 | Accuracy: 0.5900000
[2026-01-18 18:54:22,142] [INFO] - [  300/ 8400] | Cost: 0.6860039 | Accuracy: 0.5600000
[2026-01-18 19:03:04,526] [INFO] - [  400/ 8400] | Cost: 0.6949109 | Accuracy: 0.5300000
[2026-01-18 19:11:50,339] [INFO] - [  500/ 8400] | Cost: 0.7029989 | Accuracy: 0.5100000
[2026-01-18 19:20:27,174] [INFO] - [  600/ 8400] | Cost: 0.7019278 | Accuracy: 0.5100000
[2026-01-18 19:29:10,179] [INFO] - [  700/ 8400] | Cost: 0.7140197 | Accuracy: 0.4600000
[2026-01-18 19:37:30,377] [INFO] - [  800/ 8400] | Cost: 0.7197827 | Accuracy: 0.4100000
[2026-01-18 19:45:50,049] [INFO] - [  900/ 8400] | Cost: 0.7007193 | Accuracy: 0.4700000
[2026-01-18 19:54:14,791] [INFO] - [ 1000/ 8400] | Cost: 0.6955816 | Accuracy: 0.4800000
[2026-01-18 20:02:42,520] [INFO] - [ 1100/ 8400] | Cost: 0.6930460 | Accuracy: 0.5000000
[2026-01-18 20:11:18,867] [INFO] - [ 1200/ 8400] | Cost: 0.6955873 | Accuracy: 0.4600000
[2026-01-18 20:19:37,492] [INFO] - [ 1300/ 8400] | Cost: 0.6893648 | Accuracy: 0.5500000
[2026-01-18 20:27:55,808] [INFO] - [ 1400/ 8400] | Cost: 0.7000411 | Accuracy: 0.4700000
[2026-01-18 20:36:22,524] [INFO] - [ 1500/ 8400] | Cost: 0.6968983 | Accuracy: 0.5000000
