[2026-01-18 18:28:03,897] [INFO] - seed: 0
image_preprocessing: HomomorphicFilter
training:
  epochs: 1
  batch_size: 100
  image_width: 32
  lr: 0.05
model:
  num_layers: 3
dataset:
  num_classes: 2
  binary: true
  name: cifar10
  image_width_sweep: '32'
  orig_width: 32
embedding:
  name: NAQSS
  pca: false
  supports_color: false

[2026-01-18 18:28:03,900] [INFO] - Using cuda.
[2026-01-18 18:28:05,361] [INFO] - Dataset: cifar10 | Train Size: 8400 | Validation Size: 2400 | Test Size: 1200
[2026-01-18 18:28:05,364] [INFO] - Initiate model
[2026-01-18 18:28:06,015] [INFO] - Weights Shape: torch.Size([3, 19, 3])
[2026-01-18 18:28:06,016] [INFO] - Bias Shape: torch.Size([2])
[2026-01-18 18:36:48,531] [INFO] - [  100/ 8400] | Cost: 0.6931379 | Accuracy: 0.4800000
[2026-01-18 18:45:54,505] [INFO] - [  200/ 8400] | Cost: 0.6853908 | Accuracy: 0.5900000
[2026-01-18 18:54:49,556] [INFO] - [  300/ 8400] | Cost: 0.6861945 | Accuracy: 0.5600000
[2026-01-18 19:03:18,558] [INFO] - [  400/ 8400] | Cost: 0.6949411 | Accuracy: 0.5300000
[2026-01-18 19:12:04,767] [INFO] - [  500/ 8400] | Cost: 0.7028133 | Accuracy: 0.5100000
[2026-01-18 19:20:59,570] [INFO] - [  600/ 8400] | Cost: 0.7020748 | Accuracy: 0.5100000
[2026-01-18 19:29:41,377] [INFO] - [  700/ 8400] | Cost: 0.7138103 | Accuracy: 0.4600000
[2026-01-18 19:38:02,718] [INFO] - [  800/ 8400] | Cost: 0.7196525 | Accuracy: 0.4100000
[2026-01-18 19:46:32,624] [INFO] - [  900/ 8400] | Cost: 0.7009367 | Accuracy: 0.4700000
[2026-01-18 19:55:13,723] [INFO] - [ 1000/ 8400] | Cost: 0.6955739 | Accuracy: 0.4800000
[2026-01-18 20:03:44,099] [INFO] - [ 1100/ 8400] | Cost: 0.6932071 | Accuracy: 0.5000000
[2026-01-18 20:12:14,631] [INFO] - [ 1200/ 8400] | Cost: 0.6956021 | Accuracy: 0.4600000
[2026-01-18 20:20:52,051] [INFO] - [ 1300/ 8400] | Cost: 0.6893905 | Accuracy: 0.5500000
[2026-01-18 20:29:36,294] [INFO] - [ 1400/ 8400] | Cost: 0.7001910 | Accuracy: 0.4700000
[2026-01-18 20:37:58,573] [INFO] - [ 1500/ 8400] | Cost: 0.6970409 | Accuracy: 0.5000000
[2026-01-18 20:46:10,182] [INFO] - [ 1600/ 8400] | Cost: 0.6958098 | Accuracy: 0.5100000
[2026-01-18 20:54:19,888] [INFO] - [ 1700/ 8400] | Cost: 0.6860633 | Accuracy: 0.5600000
[2026-01-18 21:02:33,045] [INFO] - [ 1800/ 8400] | Cost: 0.7047525 | Accuracy: 0.4700000
[2026-01-18 21:10:21,529] [INFO] - [ 1900/ 8400] | Cost: 0.6841370 | Accuracy: 0.5700000
[2026-01-18 21:18:34,743] [INFO] - [ 2000/ 8400] | Cost: 0.7080659 | Accuracy: 0.4500000
[2026-01-18 21:26:25,813] [INFO] - [ 2100/ 8400] | Cost: 0.6991264 | Accuracy: 0.4900000
[2026-01-18 21:34:25,386] [INFO] - [ 2200/ 8400] | Cost: 0.7021111 | Accuracy: 0.4600000
[2026-01-18 21:42:14,191] [INFO] - [ 2300/ 8400] | Cost: 0.7051761 | Accuracy: 0.4100000
[2026-01-18 21:50:03,457] [INFO] - [ 2400/ 8400] | Cost: 0.6936153 | Accuracy: 0.5000000
[2026-01-18 21:57:43,742] [INFO] - [ 2500/ 8400] | Cost: 0.6938162 | Accuracy: 0.4700000
[2026-01-18 22:05:09,562] [INFO] - [ 2600/ 8400] | Cost: 0.6945889 | Accuracy: 0.4600000
[2026-01-18 22:12:23,439] [INFO] - [ 2700/ 8400] | Cost: 0.6922643 | Accuracy: 0.5200000
[2026-01-18 22:19:51,519] [INFO] - [ 2800/ 8400] | Cost: 0.6924729 | Accuracy: 0.5200000
[2026-01-18 22:27:06,829] [INFO] - [ 2900/ 8400] | Cost: 0.7004930 | Accuracy: 0.4600000
[2026-01-18 22:34:21,322] [INFO] - [ 3000/ 8400] | Cost: 0.6929600 | Accuracy: 0.5200000
[2026-01-18 22:41:42,856] [INFO] - [ 3100/ 8400] | Cost: 0.7055869 | Accuracy: 0.4400000
[2026-01-18 22:48:57,330] [INFO] - [ 3200/ 8400] | Cost: 0.7005258 | Accuracy: 0.4700000
[2026-01-18 22:57:32,436] [INFO] - [ 3300/ 8400] | Cost: 0.6995447 | Accuracy: 0.4700000
[2026-01-18 23:12:55,749] [INFO] - [ 3400/ 8400] | Cost: 0.6935032 | Accuracy: 0.5100000
[2026-01-19 00:10:26,442] [INFO] - [ 3500/ 8400] | Cost: 0.6932251 | Accuracy: 0.5100000
[2026-01-19 01:12:27,917] [INFO] - [ 3600/ 8400] | Cost: 0.6902460 | Accuracy: 0.5600000
[2026-01-19 02:13:29,836] [INFO] - [ 3700/ 8400] | Cost: 0.6938708 | Accuracy: 0.4900000
[2026-01-19 03:14:12,815] [INFO] - [ 3800/ 8400] | Cost: 0.6915364 | Accuracy: 0.5700000
[2026-01-19 04:15:17,442] [INFO] - [ 3900/ 8400] | Cost: 0.6928585 | Accuracy: 0.5100000
[2026-01-19 05:17:11,653] [INFO] - [ 4000/ 8400] | Cost: 0.6945619 | Accuracy: 0.4100000
[2026-01-19 06:18:45,148] [INFO] - [ 4100/ 8400] | Cost: 0.6932620 | Accuracy: 0.4500000
[2026-01-19 07:19:04,337] [INFO] - [ 4200/ 8400] | Cost: 0.6930363 | Accuracy: 0.5100000
[2026-01-19 08:15:31,154] [INFO] - [ 4300/ 8400] | Cost: 0.6936621 | Accuracy: 0.4700000
